<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20231017,000000,268.30000000,271.97000000,266.91000000,270.00000000,51210000
20231016,000000,264.00000000,269.20000000,263.51000000,268.15000000,53720000
20231013,000000,264.89000000,265.04000000,262.70000000,263.51000000,18410000
20231012,000000,260.00000000,264.50000000,259.66000000,264.50000000,27550000
20231011,000000,263.30000000,263.99000000,259.50000000,260.21000000,29500000
20231010,000000,264.89000000,265.18000000,257.00000000,263.00000000,34000000
20231009,000000,263.00000000,265.97000000,263.00000000,265.25000000,45450000
20231006,000000,259.77000000,263.40000000,257.86000000,262.93000000,32000000
20231005,000000,260.70000000,261.39000000,258.26000000,259.38000000,23500000
20231004,000000,259.00000000,260.39000000,258.24000000,259.53000000,18570000
20231003,000000,258.99000000,260.50000000,257.23000000,259.65000000,23910000
20231002,000000,261.37000000,261.92000000,257.03000000,258.98000000,35570000
20230929,000000,258.00000000,262.59000000,256.71000000,260.72000000,68530000
20230928,000000,256.40000000,258.25000000,255.50000000,257.67000000,26330000
20230927,000000,256.20000000,257.85000000,254.63000000,256.10000000,27880000
20230926,000000,252.13000000,257.17000000,250.90000000,255.87000000,42960000
20230925,000000,252.00000000,253.49000000,249.83000000,252.65000000,31860000
20230922,000000,249.85000000,253.10000000,248.62000000,251.99000000,40710000
20230921,000000,252.87000000,254.20000000,249.81000000,250.16000000,58910000
20230920,000000,252.80000000,255.47000000,249.82000000,253.77000000,66830000
20230919,000000,258.99000000,259.32000000,251.50000000,252.72000000,89550000
20230918,000000,262.02000000,263.00000000,258.76000000,259.07000000,29040000
20230915,000000,259.65000000,262.74000000,258.56000000,260.83000000,35580000
20230914,000000,258.90000000,261.38000000,255.02000000,260.00000000,46230000
20230913,000000,262.40000000,262.77000000,257.59000000,258.18000000,30050000
20230912,000000,257.70000000,262.40000000,257.09000000,262.40000000,45160000
20230911,000000,257.00000000,258.37000000,255.16000000,256.25000000,43280000
20230908,000000,258.08000000,259.33000000,253.10000000,255.68000000,49560000
20230907,000000,263.69000000,264.97000000,256.10000000,258.79000000,67690000
20230906,000000,264.33000000,264.68000000,262.31000000,263.50000000,28340000
