<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20070925,000000,32776.0000000,34000.0000000,32776.0000000,33300.0000000,435
20070926,000000,33300.0117200,39001.0000000,33300.0117200,39001.0000000,215
20070927,000000,34500.0000000,37968.0000000,33505.0000000,34500.0000000,1177
20070928,000000,34499.0000000,34500.0000000,33999.0000000,34400.0000000,399
20071001,000000,34000.0000000,34195.0000000,33900.0000000,33980.0000000,196
20071002,000000,34100.0000000,36100.0000000,34100.0000000,36000.0000000,977
20071003,000000,36000.0000000,36000.0000000,35000.0000000,35000.0000000,233
20071004,000000,35000.0000000,35900.0000000,35000.0000000,35105.0000000,445
20071005,000000,34500.0000000,35450.0000000,34500.0000000,35300.0000000,231
20071008,000000,35400.0000000,35700.0000000,35150.0000000,35700.0000000,666
20071009,000000,35550.0000000,35920.0000000,35350.0000000,35700.0000000,1949
20071010,000000,35949.0000000,36200.0000000,35300.0000000,35700.0000000,854
20071011,000000,35700.0000000,36000.0000000,35501.0117200,35655.0000000,179
20071012,000000,35700.0000000,36000.0000000,35400.0000000,35550.0000000,1071
20071015,000000,35501.0000000,35550.0000000,35150.0195300,35299.8789100,207
20071016,000000,35000.0000000,35170.0000000,34930.0000000,35000.0000000,182
20071017,000000,34851.0000000,35500.0000000,34800.0000000,35000.0000000,338
20071018,000000,34900.0000000,34900.0000000,34000.0000000,34070.0000000,632
20071019,000000,33990.0000000,34150.0000000,33700.0000000,33950.0000000,413
20071022,000000,33400.0000000,33600.0000000,33100.0000000,33600.0000000,271
20071023,000000,33900.0000000,34999.0000000,33900.0000000,34680.0000000,428
20071024,000000,34500.0000000,34950.0000000,34200.0000000,34950.0000000,189
20071025,000000,35000.0000000,36700.0000000,34960.0000000,35800.0000000,2898
20071026,000000,36300.0000000,36750.0000000,35600.0000000,36640.0000000,3443
20071029,000000,36950.0000000,37850.0000000,36302.0117200,37500.0000000,2597
20071030,000000,37555.0000000,37999.9687500,37102.0000000,37500.0000000,440
20071031,000000,37251.0117200,37800.0000000,37251.0117200,37500.0000000,808
20071101,000000,38450.0000000,38499.0000000,36900.0000000,37000.0000000,922
20071102,000000,36900.0000000,37449.0000000,36900.0000000,37449.0000000,287
20071106,000000,37999.0000000,38890.0000000,37000.0000000,38299.9804700,1830
20071212,000000,43.0000000,43.0000000,41.0000000,41.4490000,465200
20071213,000000,41.2000000,41.2000000,40.0000000,40.8960000,585400
20071214,000000,40.2000000,42.3500000,40.0000000,41.7970000,1284600
