<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160701,000000,400.0000000,400.0000000,395.0000000,396.0000000,3
20160704,000000,403.0000000,416.0000000,403.0000000,407.0000000,11
20160705,000000,401.0000000,401.0000000,400.0000000,400.0000000,5
20160706,000000,400.0000000,400.0000000,390.0000000,395.0000000,185
20160707,000000,397.0000000,397.0000000,397.0000000,397.0000000,1
20160708,000000,399.0000000,399.0000000,399.0000000,399.0000000,1
20160711,000000,398.0000000,415.0000000,396.0000000,398.0000000,599
20160712,000000,400.0000000,408.0000000,394.0000000,394.0000000,33
20160713,000000,403.0000000,403.0000000,394.0000000,402.0000000,4
20160714,000000,397.0000000,397.0000000,396.0000000,396.0000000,3
20160715,000000,398.0000000,398.0000000,398.0000000,398.0000000,1
20160718,000000,394.0000000,395.0000000,390.0000000,395.0000000,137
20160719,000000,392.0000000,395.0000000,392.0000000,392.0000000,28
20160720,000000,395.0000000,395.0000000,392.0000000,395.0000000,44
20160721,000000,394.0000000,394.0000000,387.0000000,392.0000000,69
20160722,000000,390.0000000,393.0000000,389.0000000,390.0000000,175
20160725,000000,393.0000000,393.0000000,393.0000000,393.0000000,1
20160726,000000,393.0000000,393.0000000,393.0000000,393.0000000,10
20160727,000000,393.0000000,393.0000000,388.0000000,388.0000000,198
20160728,000000,389.0000000,389.0000000,387.0000000,388.0000000,315
20160729,000000,388.0000000,388.0000000,388.0000000,388.0000000,35
20160801,000000,388.0000000,388.0000000,387.0000000,388.0000000,575
20160802,000000,387.0000000,449.0000000,385.0000000,441.0000000,2099
20160803,000000,435.0000000,456.0000000,425.0000000,436.0000000,3579
20160804,000000,442.0000000,480.0000000,441.0000000,442.0000000,3412
20160805,000000,450.0000000,540.0000000,450.0000000,488.0000000,5193
20160808,000000,499.0000000,524.0000000,471.0000000,524.0000000,9670
20160809,000000,514.0000000,538.0000000,500.0000000,530.0000000,6697
20160810,000000,536.0000000,600.0000000,530.0000000,562.0000000,2077
20160811,000000,568.0000000,583.0000000,532.0000000,569.0000000,343
20160812,000000,584.0000000,600.0000000,570.0000000,596.0000000,1442
20160815,000000,596.0000000,744.0000000,547.0000000,604.0000000,2940
20160816,000000,607.0000000,645.0000000,603.0000000,630.0000000,771
20160817,000000,624.0000000,670.0000000,556.0000000,571.0000000,1624
20160818,000000,584.0000000,650.0000000,583.0000000,586.0000000,8307
20160819,000000,599.0000000,648.0000000,562.0000000,604.0000000,38
20160822,000000,608.0000000,640.0000000,600.0000000,605.0000000,205
20160823,000000,605.0000000,624.0000000,600.0000000,600.0000000,298
20160824,000000,597.0000000,618.0000000,597.0000000,610.0000000,1229
20160825,000000,607.0000000,607.0000000,563.0000000,579.0000000,50
20160826,000000,571.0000000,597.0000000,564.0000000,579.0000000,197
20160829,000000,570.0000000,578.0000000,550.0000000,570.0000000,224
20160830,000000,564.0000000,565.0000000,532.0000000,548.0000000,19
20160831,000000,565.0000000,574.0000000,565.0000000,571.0000000,23
20160901,000000,573.0000000,583.0000000,565.0000000,580.0000000,1797
20160902,000000,584.0000000,590.0000000,580.0000000,588.0000000,2071
20160905,000000,595.0000000,596.0000000,542.0000000,590.0000000,34
20160906,000000,590.0000000,606.0000000,590.0000000,606.0000000,1320
20160907,000000,608.0000000,608.0000000,600.0000000,600.0000000,42
20160908,000000,598.0000000,604.0000000,598.0000000,600.0000000,3527
20160909,000000,600.0000000,604.0000000,600.0000000,600.0000000,437
20160912,000000,600.0000000,600.0000000,600.0000000,600.0000000,24
20160913,000000,600.0000000,600.0000000,600.0000000,600.0000000,135
20160914,000000,601.0000000,602.0000000,600.0000000,600.0000000,2616
20160915,000000,617.0000000,634.0000000,557.0000000,600.0000000,2643
20160916,000000,596.0000000,600.0000000,583.0000000,599.0000000,230
20160919,000000,600.0000000,618.0000000,600.0000000,614.0000000,3045
20160920,000000,617.0000000,622.0000000,605.0000000,621.0000000,179
20160921,000000,628.0000000,628.0000000,620.0000000,621.0000000,590
20160922,000000,618.0000000,650.0000000,603.0000000,650.0000000,1271
20160923,000000,651.0000000,658.0000000,644.0000000,658.0000000,28
20160926,000000,648.0000000,661.0000000,647.0000000,661.0000000,356
20160927,000000,660.0000000,668.0000000,600.0000000,663.0000000,4323
20160928,000000,660.0000000,688.0000000,660.0000000,665.0000000,1106
20160929,000000,670.0000000,670.0000000,662.0000000,662.0000000,79
20160930,000000,673.0000000,673.0000000,664.0000000,664.0000000,7
20161003,000000,674.0000000,747.0000000,664.0000000,730.0000000,4230
20161004,000000,742.0000000,754.0000000,671.0000000,693.0000000,190
20161005,000000,706.0000000,718.0000000,687.0000000,718.0000000,103
20161006,000000,732.0000000,733.0000000,693.0000000,709.0000000,28
20161007,000000,726.0000000,744.0000000,708.0000000,710.0000000,1174
20161010,000000,705.0000000,705.0000000,705.0000000,705.0000000,2
20161011,000000,723.0000000,723.0000000,723.0000000,723.0000000,1
20161012,000000,700.0000000,700.0000000,697.0000000,697.0000000,2
20161013,000000,709.0000000,718.0000000,699.0000000,718.0000000,3
20161019,000000,720.0000000,720.0000000,697.0000000,697.0000000,1661
20161020,000000,686.0000000,687.0000000,682.0000000,682.0000000,4
20161021,000000,694.0000000,694.0000000,682.0000000,682.0000000,8
20161024,000000,685.0000000,685.0000000,685.0000000,685.0000000,2
20161025,000000,681.0000000,685.0000000,674.0000000,685.0000000,17
20161027,000000,680.0000000,680.0000000,656.0000000,667.0000000,9
20161028,000000,676.0000000,677.0000000,676.0000000,677.0000000,6
20170801,000000,640.0000000,842.0000000,630.0000000,679.0000000,276
20170802,000000,670.0000000,670.0000000,618.0000000,652.0000000,73
20170803,000000,680.0000000,680.0000000,628.0000000,650.0000000,51
20170804,000000,648.0000000,648.0000000,646.0000000,646.0000000,2
20170807,000000,620.0000000,633.0000000,615.0000000,633.0000000,5
20170808,000000,614.0000000,628.0000000,606.0000000,628.0000000,116
20170809,000000,616.0000000,621.0000000,600.0000000,617.0000000,5523
20170810,000000,617.0000000,617.0000000,600.0000000,600.0000000,174
20170811,000000,621.0000000,635.0000000,621.0000000,625.0000000,1007
20170814,000000,631.0000000,631.0000000,611.0000000,615.0000000,14
20170815,000000,637.0000000,637.0000000,637.0000000,637.0000000,1
20170816,000000,610.0000000,630.0000000,600.0000000,614.0000000,20081
20170817,000000,602.0000000,618.0000000,600.0000000,612.0000000,11101
20170818,000000,606.0000000,606.0000000,604.0000000,604.0000000,26
20170821,000000,603.0000000,603.0000000,600.0000000,602.0000000,5002
20170822,000000,601.0000000,608.0000000,600.0000000,608.0000000,32
20170823,000000,608.0000000,608.0000000,601.0000000,608.0000000,16
20170824,000000,601.0000000,603.0000000,600.0000000,600.0000000,5026
20170825,000000,601.0000000,608.0000000,600.0000000,605.0000000,5034
20170828,000000,602.0000000,609.0000000,602.0000000,602.0000000,6
20170829,000000,609.0000000,644.0000000,602.0000000,602.0000000,28
20170830,000000,602.0000000,611.0000000,600.0000000,610.0000000,18060
20170831,000000,603.0000000,618.0000000,602.0000000,610.0000000,59
20170901,000000,604.0000000,619.0000000,602.0000000,602.0000000,48
20170904,000000,609.0000000,614.0000000,603.0000000,610.0000000,49
20170905,000000,613.0000000,616.0000000,605.0000000,605.0000000,97
20170906,000000,603.0000000,618.0000000,602.0000000,618.0000000,20
20170908,000000,604.0000000,604.0000000,602.0000000,603.0000000,83
20170911,000000,603.0000000,603.0000000,603.0000000,603.0000000,53
20170912,000000,614.0000000,614.0000000,602.0000000,602.0000000,11
20170913,000000,611.0000000,611.0000000,605.0000000,605.0000000,2
20170914,000000,603.0000000,603.0000000,603.0000000,603.0000000,1000
20170915,000000,603.0000000,649.0000000,603.0000000,648.0000000,282
20170918,000000,610.0000000,647.0000000,603.0000000,629.0000000,5085
20170919,000000,618.0000000,625.0000000,616.0000000,625.0000000,9
20170920,000000,616.0000000,624.0000000,606.0000000,606.0000000,11
20170921,000000,612.0000000,638.0000000,606.0000000,620.0000000,113
20170922,000000,620.0000000,630.0000000,600.0000000,607.0000000,21186
20170925,000000,605.0000000,628.0000000,605.0000000,624.0000000,101
20170926,000000,626.0000000,629.0000000,600.0000000,620.0000000,11727
20170927,000000,628.0000000,628.0000000,615.0000000,618.0000000,53
20170928,000000,615.0000000,639.0000000,605.0000000,605.0000000,27718
20170929,000000,611.0000000,619.0000000,610.0000000,615.0000000,20
20171002,000000,622.0000000,625.0000000,606.0000000,618.0000000,277
20171003,000000,610.0000000,617.0000000,610.0000000,611.0000000,1039
20171004,000000,613.0000000,619.0000000,613.0000000,619.0000000,2
20171005,000000,618.0000000,619.0000000,618.0000000,619.0000000,27
20171006,000000,623.0000000,626.0000000,623.0000000,626.0000000,594
20171009,000000,620.0000000,635.0000000,620.0000000,628.0000000,683
20171010,000000,632.0000000,632.0000000,629.0000000,629.0000000,3
20171011,000000,634.0000000,662.0000000,634.0000000,650.0000000,740
20171012,000000,644.0000000,646.0000000,605.0000000,620.0000000,10132
20171013,000000,629.0000000,630.0000000,629.0000000,630.0000000,29
20171016,000000,632.0000000,632.0000000,632.0000000,632.0000000,2
20171017,000000,640.0000000,640.0000000,625.0000000,625.0000000,1013
20171018,000000,631.0000000,649.0000000,630.0000000,649.0000000,22
20171019,000000,640.0000000,640.0000000,635.0000000,635.0000000,52
20171020,000000,643.0000000,649.0000000,641.0000000,641.0000000,8
20171023,000000,641.0000000,643.0000000,640.0000000,643.0000000,77
