<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20080319,000000,122.0000000,122.0000000,118.9000000,120.9800000,372
20080320,000000,121.9900000,121.9900000,119.0000000,119.0000000,654
20080321,000000,119.0000000,119.0000000,118.8500000,119.0000000,24
20080324,000000,120.0000000,120.0000000,120.0000000,120.0000000,1
20080325,000000,120.0000000,121.0000000,114.8000000,119.0000000,6317
20080326,000000,121.4800000,121.5000000,115.8600000,121.5000000,956
20080327,000000,114.0400000,118.7900000,90.0300000,113.3500000,12021
20080328,000000,95.0200000,118.0000000,95.0200000,114.0000000,2150
20080331,000000,114.0100000,114.0100000,111.4600000,111.4600000,8
20080401,000000,102.0800000,115.5000000,102.0800000,115.5000000,12
20080402,000000,114.0000000,115.0000000,112.1000000,115.0000000,2144
20080403,000000,113.0000000,114.0000000,111.0200000,112.8500000,1071
20080404,000000,115.0000000,115.0000000,112.0100000,112.0100000,2
20080407,000000,113.2600000,114.9900000,113.0000000,113.8000000,1651
20080408,000000,114.5000000,114.5000000,110.5700000,114.5000000,14
20080409,000000,103.0200000,114.0000000,103.0200000,113.9900000,8
20080410,000000,113.5000000,124.0000000,105.8000000,115.5000000,2558
20080411,000000,115.0000000,115.0000000,114.0000000,114.0000000,269
20080414,000000,117.3600000,117.3600000,112.5800000,115.9900000,5
20080415,000000,115.0000000,117.0000000,115.0000000,116.0000000,6989
20080416,000000,119.0000000,119.0000000,119.0000000,119.0000000,10170
20080417,000000,119.9000000,121.0000000,119.5000000,119.5000000,1428
20080418,000000,110.5200000,124.2400000,110.5200000,122.0000000,4004
20080421,000000,122.2100000,123.1000000,122.2100000,123.0000000,7515
20080422,000000,124.0000000,128.0000000,124.0000000,125.0000000,8086
20080423,000000,126.0000000,126.0000000,126.0000000,126.0000000,823
20080424,000000,122.6700000,122.6700000,122.5000000,122.5000000,9
20080425,000000,134.9900000,135.0000000,125.0000000,132.0000000,10757
20080428,000000,132.0000000,132.3000000,130.5000000,132.3000000,5699
20080429,000000,132.7500000,137.0000000,132.7500000,134.0000000,2263
20080430,000000,132.5000000,136.0000000,132.5000000,135.0000000,349
20080504,000000,135.4000000,138.0000000,135.4000000,138.0000000,2466
20080505,000000,139.5900000,140.0000000,134.7700000,139.0100000,2743
20080506,000000,141.7800000,142.5000000,139.0100000,142.5000000,69
20080507,000000,144.4900000,144.5000000,142.9900000,142.9900000,299
20080508,000000,144.0000000,145.0000000,139.8900000,142.5000000,1893
20080512,000000,141.5000000,142.0000000,141.5000000,142.0000000,144
20080513,000000,142.7500000,143.4000000,142.7500000,143.4000000,211
20080514,000000,144.8000000,144.8000000,140.0000000,142.0000000,1072
20080515,000000,141.9000000,141.9000000,141.9000000,141.9000000,2
