<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20080828,000000,25.5000000,25.5000000,25.5000000,25.5000000,100
20080829,000000,25.0000000,25.0000000,25.0000000,25.0000000,300
20080905,000000,24.2000000,24.2000000,24.0000000,24.2000000,3100
20080922,000000,24.0000000,24.0000000,24.0000000,24.0000000,2000
20081007,000000,24.0000000,24.0000000,24.0000000,24.0000000,300
20081009,000000,23.8000000,23.8000000,23.8000000,23.8000000,2000
20081013,000000,23.0100000,23.0100000,23.0000000,23.0000000,20000
20081016,000000,23.0000000,23.0000000,23.0000000,23.0000000,25000
20081028,000000,20.0000000,20.0000000,15.0100000,15.0100000,500
20081029,000000,15.0100000,15.0100000,15.0100000,15.0100000,100
20081030,000000,15.0000000,21.0000000,13.5800000,13.5800000,41800
20081031,000000,13.7500000,13.7500000,13.7500000,13.7500000,600
20081101,000000,15.0000000,15.0000000,13.7500000,13.7500000,300
20081105,000000,13.3200000,13.3200000,13.3200000,13.3200000,200
20081110,000000,13.3200000,13.3200000,13.3200000,13.3200000,2000
20081113,000000,13.3200000,13.3200000,13.3200000,13.3200000,100
20081127,000000,13.3200000,13.3200000,13.3200000,13.3200000,100
20081128,000000,13.3200000,13.3200000,13.3200000,13.3200000,100
20081203,000000,11.0000000,11.0000000,8.0000000,8.0000000,1400
20081211,000000,9.0000000,9.0000000,9.0000000,9.0000000,800
20081217,000000,8.9500000,12.0000000,6.0000000,11.5000000,319700
20081218,000000,12.0000000,12.1000000,12.0000000,12.1000000,44400
20081224,000000,10.0000000,10.0000000,10.0000000,10.0000000,800
20081225,000000,13.9900000,13.9900000,10.9900000,10.9900000,1100
20081226,000000,7.0000000,7.0000000,6.6000000,6.6000000,600
20081229,000000,9.3500000,9.3700000,9.3500000,9.3700000,70100
20081230,000000,9.0000000,13.0000000,6.8000000,6.8000000,140100
20090115,000000,8.2500000,8.2500000,8.0000000,8.0000000,300
20090116,000000,8.0000000,8.0000000,8.0000000,8.0000000,100
20090119,000000,8.0000000,8.0000000,8.0000000,8.0000000,1000
20090122,000000,8.0000000,8.0000000,8.0000000,8.0000000,1800
20090126,000000,7.0000000,8.0000000,7.0000000,7.5000000,36800
20090128,000000,6.5000000,6.5000000,5.0000000,5.7000000,1800
20090130,000000,6.9800000,7.2500000,6.9800000,7.0000000,14100
20090203,000000,7.0000000,7.0000000,7.0000000,7.0000000,100
20090204,000000,6.5000000,6.5000000,6.5000000,6.5000000,100
20090210,000000,7.8900000,8.0000000,7.8900000,8.0000000,3100
20090212,000000,6.5500000,7.9900000,6.5000000,7.9900000,3100
20090213,000000,7.9800000,8.0000000,7.9800000,8.0000000,2400
20090216,000000,6.5800000,6.5800000,5.9000000,6.4300000,503200
20090217,000000,6.9300000,6.9300000,6.7500000,6.7500000,1000
20090218,000000,6.9300000,6.9300000,6.9300000,6.9300000,200
20090224,000000,7.0000000,7.0000000,7.0000000,7.0000000,100
20090225,000000,7.5000000,7.5000000,7.5000000,7.5000000,100
20090226,000000,7.3000000,8.2500000,7.3000000,8.2500000,501600
20090302,000000,7.1600000,7.5000000,7.1600000,7.5000000,700
20090303,000000,7.1600000,7.1600000,5.1500000,5.1500000,500
20090304,000000,6.5500000,6.5500000,6.5500000,6.5500000,800
20090313,000000,6.6000000,6.6000000,6.6000000,6.6000000,5000
20090316,000000,6.5000000,7.0000000,6.5000000,7.0000000,600
20090318,000000,6.7500000,6.7500000,6.7500000,6.7500000,10000
20090319,000000,7.0000000,7.0000000,6.4000000,6.4000000,500200
20090323,000000,6.5000000,7.0000000,6.5000000,7.0000000,800
20090324,000000,7.0100000,7.0100000,6.3000000,6.4500000,750900
20090326,000000,7.1000000,7.1000000,7.1000000,7.1000000,300
20090327,000000,7.2000000,7.2000000,6.5000000,6.5100000,18000
20090330,000000,7.0000000,9.0000000,7.0000000,8.2000000,1289700
20090331,000000,7.9000000,9.0000000,5.5000000,6.3000000,25500
20090401,000000,6.9500000,8.9000000,6.5000000,6.5000000,1000
20090403,000000,6.8000000,6.8000000,6.8000000,6.8000000,100
20090406,000000,7.7000000,7.7000000,7.7000000,7.7000000,100
20090407,000000,7.4400000,7.4500000,7.4400000,7.4500000,500
20090410,000000,7.5000000,7.5000000,7.5000000,7.5000000,12000
20090413,000000,6.5100000,6.9100000,6.5000000,6.9100000,1000
20090414,000000,7.6000000,9.6300000,7.0000000,9.0900000,3400
20090415,000000,9.0000000,9.0000000,9.0000000,9.0000000,200
20090416,000000,7.1200000,8.0000000,7.1200000,7.9900000,8900
20090417,000000,7.9900000,8.0000000,7.1500000,8.0000000,6500
20090420,000000,7.0500000,7.8900000,6.6600000,7.8900000,3200
20090421,000000,6.8000000,7.5000000,6.5600000,7.5000000,2400
20090422,000000,7.0200000,7.6000000,6.6000000,7.6000000,4100
20090423,000000,7.5800000,7.9900000,7.5000000,7.5400000,8600
20090424,000000,7.9500000,8.7900000,7.5700000,8.7900000,7700
20090427,000000,7.4300000,8.4900000,7.4300000,8.4900000,300
20090428,000000,7.2500000,7.2500000,7.1000000,7.1000000,2000
20090429,000000,7.5600000,8.4900000,7.5600000,7.7300000,3700
20090430,000000,8.4400000,8.4400000,7.7200000,7.8500000,28800
20090504,000000,7.7000000,8.4900000,7.1000000,7.9500000,24500
20090506,000000,7.4000000,8.1200000,7.1400000,8.0000000,2900
20090507,000000,7.5000000,8.1700000,7.0000000,7.0000000,20800
20090508,000000,7.3100000,8.7000000,7.2500000,7.2500000,56300
20090512,000000,7.6900000,8.0000000,7.6900000,7.9500000,68600
20090513,000000,7.9900000,8.4800000,7.4000000,7.9900000,146300
20090514,000000,7.9600000,7.9600000,7.0000000,7.2100000,55600
20090515,000000,7.4000000,8.1000000,7.4000000,8.0000000,406900
20090518,000000,8.0500000,11.0000000,8.0500000,10.3900000,2051500
20090519,000000,10.3000000,11.7000000,9.1100000,9.3800000,1255700
20090520,000000,9.3800000,9.8100000,8.9500000,9.6000000,354700
20090521,000000,9.4000000,9.7700000,8.5200000,8.8800000,208600
20090522,000000,8.9500000,9.4900000,8.6300000,9.0000000,139900
20090525,000000,9.4000000,9.7800000,8.8000000,9.6000000,195600
20090526,000000,9.7000000,9.8500000,8.7800000,9.2300000,147800
20090527,000000,9.0700000,9.2900000,8.0000000,8.2900000,1767300
20090528,000000,8.2000000,8.3600000,7.9300000,8.0400000,1013700
20090529,000000,8.0500000,8.3800000,8.0300000,8.2900000,1315200
20090601,000000,8.1000000,8.6800000,8.0000000,8.5200000,2051800
20090602,000000,8.4600000,8.6300000,8.0100000,8.5000000,507700
20090603,000000,8.3500000,8.4900000,8.0500000,8.2300000,192100
20090604,000000,8.0500000,10.4900000,8.0500000,9.8800000,1266300
20090605,000000,9.5300000,11.4000000,9.0900000,10.5100000,1026100
20090608,000000,11.0000000,11.5900000,10.0000000,11.2500000,536200
20090609,000000,11.4700000,12.0000000,11.0000000,11.8900000,383300
20090610,000000,11.8700000,12.1000000,11.5000000,11.8500000,789200
20090611,000000,12.2500000,12.5000000,11.7000000,11.9000000,1571900
20090615,000000,11.7600000,12.0000000,11.4500000,11.5000000,713100
20090616,000000,10.2500000,11.9000000,10.2500000,11.6500000,325800
20090617,000000,11.8400000,11.8400000,10.9000000,10.9000000,20200
20090618,000000,11.4900000,11.4900000,10.0000000,10.3900000,80500
20090619,000000,10.3900000,11.8900000,10.3900000,11.2900000,68800
20090622,000000,11.1100000,11.3000000,10.0100000,11.0400000,54500
20090623,000000,10.1000000,11.5000000,9.9000000,11.0900000,391600
20090624,000000,10.5500000,11.6000000,10.5500000,11.5000000,185200
20090625,000000,11.5000000,12.0000000,11.2000000,11.4000000,1469300
20090626,000000,11.0100000,11.5000000,9.1600000,11.0600000,233800
20090629,000000,11.5800000,11.5800000,11.4400000,11.4500000,1900
20090630,000000,10.7100000,11.4700000,10.7100000,11.1900000,14600
20090701,000000,11.3200000,11.3200000,10.6500000,10.9500000,3800
20090702,000000,11.6400000,11.6400000,10.6500000,10.7800000,11400
20090703,000000,10.9000000,10.9000000,10.4000000,10.4000000,32700
20090706,000000,10.2900000,10.2900000,9.0800000,9.7000000,30300
20090707,000000,10.1000000,10.1900000,9.7500000,9.7500000,6900
20090708,000000,9.1000000,9.9900000,9.1000000,9.9900000,3900
20090709,000000,10.0000000,11.0000000,9.6500000,9.7000000,96400
20090710,000000,9.2700000,9.2700000,9.2500000,9.2500000,21000
20090713,000000,9.2300000,9.6500000,9.0600000,9.4600000,104600
20090714,000000,10.0000000,10.0000000,9.0000000,9.0000000,38300
20090715,000000,8.7400000,9.4600000,8.0200000,9.4600000,33100
20090716,000000,9.4400000,9.4600000,8.8000000,9.2900000,9800
20090717,000000,9.2900000,9.4500000,9.0000000,9.2900000,48100
20090720,000000,9.4600000,9.4600000,8.8000000,9.1300000,35700
20090721,000000,8.7600000,9.1200000,8.6100000,8.6700000,55800
20090722,000000,8.6900000,9.8000000,8.6000000,9.8000000,183300
20090723,000000,9.0000000,9.3000000,8.8200000,9.1900000,519700
