<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20180201,000000,2199.0000000,2225.5000000,2082.5000000,2110.0000000,179814
20180202,000000,2129.0000000,2130.0000000,2015.0000000,2052.0000000,129059
20180205,000000,2060.0000000,2090.0000000,2013.0000000,2089.5000000,67255
20180206,000000,2055.0000000,2088.5000000,2005.0000000,2070.0000000,60383
20180207,000000,2075.0000000,2117.0000000,2054.5000000,2090.0000000,22646
20180208,000000,2090.0000000,2195.0000000,2060.0000000,2134.0000000,32091
20180209,000000,2120.0000000,2120.0000000,2035.0000000,2046.0000000,28684
20180212,000000,2065.0000000,2125.0000000,2052.5000000,2100.5000000,11486
20180213,000000,2105.5000000,2145.0000000,2091.0000000,2140.0000000,27524
20180214,000000,2149.5000000,2172.0000000,2142.5000000,2150.5000000,28266
20180215,000000,2150.5000000,2155.0000000,2112.0000000,2144.0000000,22475
20180216,000000,2157.5000000,2260.0000000,2080.0000000,2130.0000000,55935
20180219,000000,2139.5000000,2195.0000000,2060.0000000,2079.5000000,41099
20180220,000000,2075.0000000,2075.5000000,1941.5000000,1979.5000000,83633
20180221,000000,1992.0000000,2019.5000000,1905.5000000,1958.0000000,44031
20180222,000000,1958.0000000,2030.0000000,1930.0000000,1996.5000000,52053
20180226,000000,2020.0000000,2035.0000000,2003.0000000,2017.0000000,13739
20180227,000000,2034.0000000,2034.0000000,2003.5000000,2017.0000000,3936
20180228,000000,2006.5000000,2029.0000000,2002.5000000,2015.0000000,13954
20180301,000000,2014.0000000,2040.0000000,1994.5000000,2040.0000000,56623
20180302,000000,2041.0000000,2044.5000000,1969.5000000,2000.5000000,93970
20180305,000000,2006.5000000,2050.0000000,1980.0000000,2016.0000000,41937
20180306,000000,2032.5000000,2032.5000000,1930.0000000,1943.5000000,140870
20180307,000000,1957.5000000,1960.0000000,1920.0000000,1946.5000000,155042
20180309,000000,1935.0000000,1968.0000000,1935.0000000,1955.5000000,102546
20180312,000000,1965.5000000,1980.0000000,1937.0000000,1960.5000000,84376
20180313,000000,1975.0000000,1975.0000000,1905.0000000,1910.0000000,122430
20180314,000000,1922.0000000,1922.5000000,1867.0000000,1885.5000000,112525
20180315,000000,1863.0000000,1965.0000000,1850.0000000,1965.0000000,165847
20180316,000000,1948.5000000,1966.5000000,1926.0000000,1965.0000000,126067
20180319,000000,1965.0000000,1981.5000000,1894.5000000,1915.0000000,102828
20180320,000000,1910.0000000,1917.0000000,1878.5000000,1891.0000000,118732
20180321,000000,1888.0000000,1936.0000000,1875.0000000,1920.0000000,165880
20180322,000000,1930.0000000,1946.0000000,1861.0000000,1875.0000000,128708
20180323,000000,1860.0000000,1900.0000000,1800.0000000,1858.0000000,153512
20180326,000000,1858.5000000,1862.5000000,1809.5000000,1811.0000000,113558
20180327,000000,1821.0000000,1849.0000000,1800.0000000,1846.5000000,86284
20180328,000000,1847.0000000,1847.0000000,1801.5000000,1838.5000000,88536
20180329,000000,1849.5000000,2019.0000000,1830.5000000,1932.0000000,337681
20180330,000000,1964.5000000,1978.0000000,1927.0000000,1932.0000000,50394
20180402,000000,1947.0000000,1965.0000000,1913.5000000,1949.5000000,30725
20180403,000000,1950.0000000,1961.5000000,1919.0000000,1948.0000000,130619
20180404,000000,1957.5000000,1959.0000000,1927.5000000,1959.0000000,81699
20180405,000000,1960.0000000,2050.0000000,1946.0000000,2050.0000000,152747
20180406,000000,2017.5000000,2069.5000000,2000.0000000,2025.0000000,98541
20180409,000000,2020.0000000,2022.0000000,1730.0000000,1892.5000000,341118
20180410,000000,1884.5000000,1973.5000000,1865.5000000,1925.0000000,233735
20180411,000000,1923.5000000,1965.0000000,1812.0000000,1875.0000000,192975
20180412,000000,1875.5000000,1948.0000000,1850.0000000,1913.5000000,194146
