<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20080717,000000,0.0200000,0.0229000,0.0178000,0.0200000,486284000
20080718,000000,0.0200000,0.0269000,0.0195000,0.0203000,1216632000
20080721,000000,0.0216000,0.0221000,0.0196000,0.0208000,335381000
20080722,000000,0.0208000,0.0214000,0.0197000,0.0202000,305836000
20080723,000000,0.0202000,0.0232000,0.0200000,0.0226000,811003000
20080724,000000,0.0226000,0.0304000,0.0226000,0.0284000,2002213000
20080725,000000,0.0284000,0.0392000,0.0269000,0.0392000,1758811000
20080728,000000,0.0395000,0.0549000,0.0395000,0.0549000,279105000
20080729,000000,0.0595000,0.0769000,0.0595000,0.0769000,93737000
20080730,000000,0.0928000,0.1077000,0.0586000,0.0586000,709091000
20080731,000000,0.0586000,0.0783000,0.0352000,0.0539000,1246630000
20080801,000000,0.0500000,0.0700000,0.0401000,0.0646000,1248868000
20080804,000000,0.0640000,0.0870000,0.0622000,0.0820000,1080938000
20080805,000000,0.0840000,0.0900000,0.0656000,0.0775000,772218000
20080806,000000,0.0843000,0.0927000,0.0800000,0.0835000,535587000
20080807,000000,0.0850000,0.0898000,0.0785000,0.0818000,262325000
20080808,000000,0.0830000,0.0830000,0.0554000,0.0675000,708893000
20080811,000000,0.0645000,0.0690000,0.0550000,0.0661000,381371000
20080812,000000,0.0670000,0.0677000,0.0477000,0.0506000,694279000
20080813,000000,0.0523000,0.0525000,0.0381000,0.0407000,799193000
20080814,000000,0.0399000,0.0419000,0.0330000,0.0402000,1703849000
20080815,000000,0.0402000,0.0451000,0.0390000,0.0450000,1096261000
20080818,000000,0.0460000,0.0532000,0.0431000,0.0506000,1397480000
20080819,000000,0.0496000,0.0560000,0.0458000,0.0467000,1549826000
20080820,000000,0.0475000,0.0510000,0.0450000,0.0485000,779851000
20080821,000000,0.0494000,0.0500000,0.0439000,0.0454000,420803000
20080822,000000,0.0449000,0.0456000,0.0395000,0.0405000,601480000
20080825,000000,0.0405000,0.0405000,0.0372000,0.0378000,554942000
20080826,000000,0.0372000,0.0372000,0.0330000,0.0351000,526445000
20080827,000000,0.0362000,0.0410000,0.0301000,0.0363000,1126945000
20080828,000000,0.0365000,0.0390000,0.0342000,0.0378000,836375000
20080829,000000,0.0380000,0.0386000,0.0335000,0.0378000,704932000
20080901,000000,0.0371000,0.0390000,0.0354000,0.0374000,439546000
20080902,000000,0.0374000,0.0396000,0.0363000,0.0393000,843530000
20080903,000000,0.0393000,0.0393000,0.0366000,0.0371000,415422000
20080904,000000,0.0371000,0.0380000,0.0342000,0.0353000,789115000
20080905,000000,0.0340000,0.0347000,0.0312000,0.0322000,475232000
20080908,000000,0.0333000,0.0336000,0.0317000,0.0325000,313444000
20080909,000000,0.0321000,0.0330000,0.0258000,0.0275000,261124000
20080910,000000,0.0255000,0.0271000,0.0226000,0.0239000,433124000
20080911,000000,0.0240000,0.0249000,0.0217000,0.0232000,76020000
20080912,000000,0.0232000,0.0243000,0.0220000,0.0230000,319357000
20080915,000000,0.0229000,0.0229000,0.0211000,0.0216000,152116000
20080916,000000,0.0205000,0.0205000,0.0138000,0.0147000,295507000
20080917,000000,0.0169000,0.0187000,0.0128000,0.0128000,92320000
20080919,000000,0.0150000,0.0206000,0.0145000,0.0206000,594454000
20080922,000000,0.0207000,0.0286000,0.0207000,0.0286000,711999000
20080923,000000,0.0304000,0.0370000,0.0288000,0.0308000,2322063000
20080924,000000,0.0319000,0.0344000,0.0295000,0.0326000,960001000
20080925,000000,0.0315000,0.0338000,0.0294000,0.0313000,588813000
20080926,000000,0.0314000,0.0318000,0.0295000,0.0300000,308902000
20080929,000000,0.0296000,0.0300000,0.0252000,0.0260000,363224000
20080930,000000,0.0235000,0.0333000,0.0207000,0.0288000,963410000
20081001,000000,0.0302000,0.0348000,0.0280000,0.0293000,796494000
20081002,000000,0.0298000,0.0307000,0.0275000,0.0283000,317137000
20081003,000000,0.0280000,0.0305000,0.0250000,0.0287000,342379000
20081006,000000,0.0270000,0.0284000,0.0205000,0.0244000,351511000
20081007,000000,0.0240000,0.0258000,0.0210000,0.0231000,317288000
20081008,000000,0.0210000,0.0211000,0.0185000,0.0192000,56897000
20081009,000000,0.0209000,0.0218000,0.0180000,0.0193000,448474000
20081013,000000,0.0180000,0.0180000,0.0117000,0.0121000,6288086000
20081014,000000,0.0126000,0.0132000,0.0104000,0.0109000,3120545000
20081015,000000,0.0112000,0.0112000,0.0087000,0.0094000,2365266000
20081016,000000,0.0088000,0.0088000,0.0065000,0.0070000,3430435000
20081017,000000,0.0075000,0.0076000,0.0060000,0.0068000,1763855000
20081020,000000,0.0071000,0.0077000,0.0069000,0.0073000,1284042000
20081021,000000,0.0076000,0.0078000,0.0069000,0.0072000,847872000
20081022,000000,0.0069000,0.0073000,0.0065000,0.0067000,928320000
20081023,000000,0.0064000,0.0070000,0.0062000,0.0068000,1159403000
20081024,000000,0.0068000,0.0068000,0.0052000,0.0055000,794148000
20081028,000000,0.0054000,0.0057000,0.0052000,0.0054000,1468098000
20081029,000000,0.0056000,0.0061000,0.0053000,0.0059000,2230177000
20081030,000000,0.0059000,0.0064000,0.0057000,0.0060000,4290229000
20081031,000000,0.0058000,0.0060000,0.0055000,0.0059000,3356620000
20081101,000000,0.0061000,0.0081000,0.0059000,0.0075000,4681791000
20081105,000000,0.0085000,0.0095000,0.0077000,0.0081000,7332521000
20081106,000000,0.0075000,0.0075000,0.0063000,0.0065000,4787642000
20081107,000000,0.0062000,0.0070000,0.0061000,0.0070000,4476244000
20081110,000000,0.0074000,0.0080000,0.0072000,0.0074000,4652658000
20081111,000000,0.0072000,0.0073000,0.0062000,0.0063000,2887195000
20081113,000000,0.0057000,0.0071000,0.0054000,0.0067000,4322177000
20081114,000000,0.0073000,0.0075000,0.0068000,0.0070000,3513774000
20081117,000000,0.0071000,0.0072000,0.0065000,0.0069000,1452878000
20081118,000000,0.0066000,0.0071000,0.0065000,0.0071000,1488280000
20081119,000000,0.0070000,0.0078000,0.0068000,0.0069000,2423976000
20081120,000000,0.0065000,0.0067000,0.0061000,0.0063000,2142274000
20081121,000000,0.0064000,0.0066000,0.0061000,0.0063000,1017108000
20081124,000000,0.0066000,0.0071000,0.0063000,0.0070000,2388608000
20081125,000000,0.0073000,0.0074000,0.0066000,0.0067000,2039761000
20081126,000000,0.0067000,0.0071000,0.0066000,0.0070000,1892070000
20081127,000000,0.0072000,0.0086000,0.0070000,0.0079000,13150724000
20081128,000000,0.0081000,0.0083000,0.0070000,0.0072000,3464592000
20081201,000000,0.0072000,0.0073000,0.0064000,0.0065000,1748043000
20081202,000000,0.0060000,0.0067000,0.0057000,0.0066000,1931548000
20081203,000000,0.0068000,0.0068000,0.0061000,0.0064000,1034799000
20081204,000000,0.0064000,0.0067000,0.0061000,0.0064000,1285944000
20081205,000000,0.0062000,0.0064000,0.0060000,0.0061000,2793337000
20081208,000000,0.0066000,0.0068000,0.0062000,0.0066000,5777134000
20081209,000000,0.0065000,0.0065000,0.0060000,0.0062000,3602328000
20081210,000000,0.0061000,0.0062000,0.0057000,0.0060000,2500181000
20081211,000000,0.0060000,0.0061000,0.0057000,0.0060000,1742121000
20081212,000000,0.0058000,0.0059000,0.0055000,0.0058000,1734916000
20081215,000000,0.0060000,0.0063000,0.0059000,0.0060000,1831400000
20081216,000000,0.0060000,0.0062000,0.0057000,0.0061000,1367597000
20081217,000000,0.0062000,0.0062000,0.0058000,0.0060000,1484529000
20081218,000000,0.0060000,0.0061000,0.0058000,0.0059000,1918747000
20081219,000000,0.0058000,0.0060000,0.0057000,0.0060000,1193017000
20081222,000000,0.0059000,0.0061000,0.0058000,0.0060000,1485367000
20081223,000000,0.0059000,0.0060000,0.0058000,0.0060000,1476343000
20081224,000000,0.0060000,0.0077000,0.0058000,0.0077000,12823810000
20081225,000000,0.0077000,0.0084000,0.0066000,0.0067000,12973974000
20081226,000000,0.0069000,0.0073000,0.0064000,0.0065000,4045797000
20081229,000000,0.0066000,0.0067000,0.0062000,0.0063000,1573749000
20081230,000000,0.0064000,0.0064000,0.0060000,0.0062000,1000773000
20081231,000000,0.0062000,0.0064000,0.0061000,0.0064000,226574000
20090111,000000,0.0064000,0.0066000,0.0063000,0.0064000,492442000
20090112,000000,0.0064000,0.0066000,0.0060000,0.0062000,2676276000
20090113,000000,0.0061000,0.0063000,0.0061000,0.0062000,1569289000
20090114,000000,0.0063000,0.0065000,0.0059000,0.0060000,2078306000
20090115,000000,0.0059000,0.0062000,0.0058000,0.0060000,1358135000
20090116,000000,0.0061000,0.0062000,0.0057000,0.0060000,3797103000
20090119,000000,0.0061000,0.0061000,0.0056000,0.0057000,1276435000
20090120,000000,0.0055000,0.0058000,0.0053000,0.0055000,1292038000
20090121,000000,0.0054000,0.0054000,0.0051000,0.0054000,1465244000
20090122,000000,0.0055000,0.0055000,0.0049000,0.0050000,2458529000
