<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20201007,000000,104.9900000,105.0000000,91.5600000,100.5000000,1042057600
20201008,000000,99.4100000,100.5000000,98.3000000,100.5000000,7959060
20201009,000000,100.5000000,103.2900000,100.1300000,103.0000000,31701880
20201012,000000,103.2500000,104.5000000,103.0100000,103.5500000,12906560
20201013,000000,103.6600000,103.9200000,102.1200000,103.2000000,5577980
20201014,000000,103.3700000,103.3800000,102.5000000,103.0000000,1716120
20201015,000000,102.9900000,102.9900000,100.0600000,100.2600000,4049130
20201016,000000,100.8800000,101.9300000,100.0600000,100.4700000,1968390
20201019,000000,100.6500000,101.2500000,100.2700000,100.4000000,711880
20201020,000000,100.3000000,100.5400000,100.0000000,100.0700000,2069680
20201021,000000,100.4000000,100.4800000,98.4000000,98.5900000,2768880
20201022,000000,98.4800000,98.5000000,95.5000000,96.5000000,4004140
20201023,000000,96.6900000,96.7100000,95.6000000,96.3100000,1919790
20201026,000000,96.2600000,99.5700000,95.5100000,99.1000000,2359820
20201027,000000,99.1100000,99.5300000,97.9500000,98.6000000,2016710
20201028,000000,98.0100000,98.5900000,95.5000000,97.3000000,2406220
20201029,000000,97.3000000,98.4000000,97.0000000,97.8900000,662240
20201030,000000,98.1800000,98.2000000,97.0000000,98.0900000,433940
20201102,000000,98.1700000,98.3500000,97.0000000,97.9600000,697990
20201103,000000,98.3400000,98.3400000,97.2500000,97.3100000,724470
20201105,000000,97.7000000,98.4300000,97.5000000,97.5500000,953280
20201106,000000,97.7900000,97.7900000,96.5600000,97.0300000,803160
20201109,000000,97.0800000,97.8600000,96.6500000,96.6500000,1474060
20201110,000000,96.6700000,97.0000000,96.5000000,96.8000000,1006690
20201111,000000,97.0000000,97.7200000,96.5600000,96.6700000,846940
20201112,000000,97.0500000,97.4800000,96.5200000,96.5700000,911650
20201113,000000,96.7000000,96.9000000,96.5100000,96.5900000,1003810
20201116,000000,96.9600000,98.4700000,96.6600000,97.7000000,2159760
20201117,000000,98.0300000,100.8700000,97.7000000,97.7700000,7441300
20201118,000000,97.7900000,99.2900000,95.9000000,95.9800000,5665240
20201119,000000,96.2000000,97.0000000,96.0000000,96.9000000,1207250
20201120,000000,97.0000000,99.0000000,96.6800000,97.5100000,1333020
20201123,000000,97.5600000,98.2700000,97.3000000,97.5200000,662530
20201124,000000,97.8900000,97.8900000,97.1100000,97.3100000,712740
20201125,000000,97.5000000,97.7300000,97.0100000,97.4500000,907980
20201126,000000,97.6000000,97.6900000,97.0100000,97.4100000,826540
20201127,000000,97.4100000,97.7100000,97.0100000,97.1900000,512510
20201130,000000,97.4100000,97.4400000,96.2700000,96.2900000,1170370
20201201,000000,96.5000000,97.1700000,96.4100000,96.9000000,1008980
20201202,000000,96.9000000,97.0000000,96.5700000,96.7500000,1264200
