<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20201124,000000,2674.5000000,3192.5000000,2674.5000000,3033.0000000,1751752
20201125,000000,3150.5000000,3282.0000000,2888.0000000,2954.0000000,1283364
20201126,000000,3000.0000000,3002.0000000,2900.5000000,2944.0000000,193930
20201127,000000,2965.5000000,3082.0000000,2913.0000000,3025.0000000,336183
20201130,000000,2999.5000000,3140.0000000,2967.5000000,3071.0000000,210016
20201201,000000,3049.5000000,3097.0000000,3000.5000000,3059.5000000,150435
20201202,000000,3031.0000000,3230.0000000,3003.0000000,3184.0000000,264174
20201203,000000,3129.0000000,3649.0000000,3085.5000000,3614.5000000,912222
20201204,000000,3589.5000000,3984.0000000,3428.5000000,3556.0000000,1102780
20201207,000000,3567.0000000,3675.0000000,3351.5000000,3422.0000000,404566
20201208,000000,3429.5000000,3495.0000000,3260.0000000,3471.0000000,320172
20201209,000000,3513.5000000,3600.0000000,3300.0000000,3301.0000000,450251
20201210,000000,3348.5000000,3380.0000000,3267.5000000,3294.0000000,230363
20201211,000000,3308.0000000,3340.0000000,3106.0000000,3164.5000000,249622
20201214,000000,3195.0000000,3238.0000000,3012.5000000,3069.0000000,315620
20201215,000000,3070.0000000,3208.5000000,3040.5000000,3201.0000000,186167
20201216,000000,3221.5000000,3369.0000000,3168.0000000,3357.0000000,270328
20201217,000000,3342.0000000,3398.5000000,3181.5000000,3211.5000000,247796
20201218,000000,3209.5000000,3296.0000000,3119.5000000,3264.5000000,275222
20201221,000000,3288.0000000,3346.5000000,3178.0000000,3264.0000000,335682
20201222,000000,3292.5000000,3415.0000000,3209.0000000,3231.0000000,424425
20201223,000000,3258.0000000,3270.0000000,3131.0000000,3222.0000000,318615
20201224,000000,3220.0000000,3243.0000000,3108.0000000,3149.0000000,193810
20201225,000000,3149.0000000,3164.0000000,3130.0000000,3150.5000000,44906
20201228,000000,3167.0000000,3290.5000000,3142.5000000,3290.0000000,275998
20201229,000000,3293.0000000,3327.5000000,3170.0000000,3232.0000000,208618
20201230,000000,3225.0000000,3348.0000000,3202.0000000,3289.5000000,220585
20210104,000000,3260.0000000,3278.0000000,2996.0000000,3229.5000000,363260
20210105,000000,3238.0000000,3380.5000000,3209.5000000,3348.5000000,281378
20210106,000000,3325.5000000,3369.5000000,3220.0000000,3257.0000000,156673
20210108,000000,3321.5000000,3500.0000000,3270.0000000,3376.5000000,414740
20210111,000000,3370.0000000,3426.0000000,3330.0000000,3382.0000000,143894
20210112,000000,3375.0000000,3572.0000000,3345.0000000,3530.5000000,316286
20210113,000000,3502.5000000,3600.0000000,3460.0000000,3491.0000000,191767
20210114,000000,3526.0000000,3696.0000000,3460.5000000,3636.5000000,286321
20210115,000000,3620.0000000,4002.5000000,3485.0000000,3805.5000000,423574
20210118,000000,3815.5000000,3839.5000000,3722.5000000,3795.0000000,125851
20210119,000000,3840.5000000,4150.0000000,3814.5000000,3972.0000000,526262
20210120,000000,3955.0000000,4190.0000000,3948.0000000,4001.0000000,460938
20210121,000000,4025.0000000,4199.0000000,3872.5000000,4057.0000000,416659
20210122,000000,4069.0000000,4165.0000000,3850.0000000,3980.0000000,472503
20210125,000000,3999.0000000,4189.0000000,3930.0000000,4014.5000000,366963
20210126,000000,4028.0000000,4089.0000000,3900.0000000,3901.0000000,271592
20210127,000000,3929.0000000,3952.0000000,3532.5000000,3560.5000000,639169
20210128,000000,3580.0000000,3881.5000000,3512.5000000,3846.0000000,595436
20210129,000000,3815.5000000,3869.0000000,3568.0000000,3662.0000000,321321
20210201,000000,3700.5000000,3877.0000000,3678.0000000,3867.5000000,267088
20210202,000000,3877.5000000,4045.0000000,3877.5000000,4016.0000000,343149
20210203,000000,4004.0000000,4064.0000000,3978.0000000,4023.0000000,183538
20210204,000000,4034.0000000,4186.5000000,3991.5000000,4185.5000000,336112
20210205,000000,4200.5000000,4667.0000000,4190.0000000,4650.0000000,562135
20210208,000000,4684.0000000,5086.5000000,4680.0000000,4969.0000000,866125
20210209,000000,5001.5000000,5181.0000000,4650.0000000,4665.0000000,741013
20210210,000000,4655.0000000,4977.5000000,4642.5000000,4883.0000000,585252
20210211,000000,4928.5000000,4962.0000000,4700.0000000,4726.5000000,283167
20210212,000000,4755.0000000,4821.0000000,4536.0000000,4753.0000000,305211
20210215,000000,4795.0000000,4891.0000000,4676.0000000,4739.0000000,229807
20210216,000000,4764.0000000,4844.0000000,4654.0000000,4765.0000000,318438
20210217,000000,4760.0000000,4847.0000000,4400.0000000,4420.0000000,1180079
20210218,000000,4508.0000000,4657.0000000,4486.5000000,4573.5000000,718992
20210219,000000,4574.5000000,4949.0000000,4492.0000000,4884.5000000,468405
20210220,000000,4840.5000000,4932.0000000,4770.0000000,4864.0000000,89950
20210222,000000,4884.0000000,5022.0000000,4755.5000000,4938.0000000,306409
20210224,000000,4772.0000000,4818.0000000,4512.5000000,4557.5000000,512771
20210225,000000,4570.0000000,4697.5000000,4275.0000000,4330.0000000,439410
20210226,000000,4346.0000000,4525.0000000,4200.0000000,4480.0000000,408344
20210301,000000,4468.5000000,4739.0000000,4444.5000000,4703.5000000,238418
20210302,000000,4690.0000000,4811.0000000,4602.0000000,4602.0000000,307485
20210303,000000,4640.0000000,4736.0000000,4482.0000000,4490.5000000,336260
20210304,000000,4496.0000000,4543.5000000,4079.5000000,4226.5000000,536216
20210305,000000,4209.5000000,4290.0000000,3882.0000000,4073.0000000,568128
20210309,000000,3911.0000000,3948.5000000,3743.0000000,3831.0000000,676147
20210310,000000,3885.0000000,4023.0000000,3824.0000000,3844.0000000,581632
20210311,000000,3865.0000000,4085.0000000,3851.0000000,4064.0000000,360335
20210312,000000,4065.0000000,4155.0000000,3960.5000000,4114.0000000,523845
20210315,000000,4177.0000000,4266.0000000,4144.5000000,4201.0000000,356516
20210316,000000,4226.0000000,4258.0000000,4060.0000000,4147.5000000,283787
20210317,000000,4147.5000000,4219.0000000,3981.0000000,4170.0000000,283831
20210318,000000,4173.0000000,4328.0000000,4130.5000000,4179.0000000,449803
20210319,000000,4200.5000000,4279.5000000,4137.0000000,4217.0000000,271861
20210322,000000,4217.0000000,4265.0000000,4150.0000000,4175.0000000,144867
20210323,000000,4181.5000000,4185.0000000,4061.5000000,4086.0000000,212761
20210324,000000,4100.5000000,4140.0000000,3900.0000000,3953.0000000,305914
20210325,000000,3994.0000000,4035.0000000,3812.5000000,3955.0000000,364947
20210326,000000,3965.0000000,4034.5000000,3850.0000000,3958.0000000,271149
20210329,000000,3960.0000000,4059.5000000,3925.0000000,4006.0000000,282823
20210330,000000,4001.5000000,4128.5000000,3925.5000000,4011.0000000,438437
20210331,000000,4025.0000000,4322.5000000,3993.0000000,4235.0000000,477798
20210401,000000,4262.0000000,4498.5000000,4257.5000000,4435.0000000,524618
20210402,000000,4445.0000000,4447.0000000,4366.5000000,4387.5000000,53569
20210405,000000,4408.5000000,4433.0000000,4263.5000000,4395.0000000,166473
20210406,000000,4375.0000000,4500.0000000,4276.5000000,4474.0000000,326935
20210407,000000,4484.5000000,4600.0000000,4435.0000000,4567.0000000,388436
20210408,000000,4592.5000000,4600.0000000,4450.0000000,4490.0000000,162927
20210409,000000,4501.0000000,4697.0000000,4438.0000000,4650.5000000,349903
20210412,000000,4675.0000000,4799.5000000,4655.5000000,4724.0000000,295546
20210413,000000,4729.5000000,4853.0000000,4667.0000000,4739.0000000,299853
20210414,000000,4739.5000000,4801.0000000,4602.5000000,4751.0000000,278729
20210415,000000,4759.5000000,4780.0000000,4600.5000000,4730.5000000,300448
20210416,000000,4705.0000000,4824.5000000,4673.0000000,4760.0000000,159443
20210419,000000,4772.0000000,4798.5000000,4529.5000000,4659.0000000,214241
20210420,000000,4652.0000000,4685.0000000,4467.5000000,4605.0000000,199294
20210421,000000,4593.0000000,4700.0000000,4502.0000000,4671.0000000,168232
20210422,000000,4660.5000000,4832.5000000,4652.0000000,4702.0000000,263364
20210423,000000,4730.0000000,4920.0000000,4691.0000000,4860.0000000,270570
20210426,000000,4857.5000000,5073.0000000,4857.5000000,4979.0000000,255716
20210427,000000,5003.0000000,5094.5000000,4852.0000000,4902.0000000,269015
20210428,000000,4917.0000000,4955.0000000,4750.0000000,4807.0000000,161678
20210429,000000,4824.5000000,4847.0000000,4620.0000000,4671.0000000,161434
20210430,000000,4656.5000000,4739.5000000,4543.0000000,4669.5000000,134787
20210504,000000,4590.0000000,4672.5000000,4463.0000000,4522.0000000,367364
20210505,000000,4505.0000000,4648.0000000,4390.0000000,4444.0000000,434158
20210506,000000,4444.0000000,4497.5000000,4294.0000000,4397.0000000,376958
20210507,000000,4408.0000000,4473.0000000,4253.5000000,4282.5000000,457758
20210510,000000,4295.0000000,4304.5000000,3982.0000000,4019.5000000,733610
20210511,000000,4021.5000000,4199.0000000,3926.0000000,4197.0000000,693842
20210512,000000,4207.5000000,4340.0000000,4006.5000000,4080.0000000,1102923
20210513,000000,4076.5000000,4129.5000000,3900.0000000,4011.0000000,614878
20210514,000000,4030.0000000,4148.0000000,3985.5000000,4136.0000000,395650
20210517,000000,4136.5000000,4188.5000000,3962.0000000,4015.5000000,645489
20210518,000000,4029.0000000,4102.0000000,3675.0000000,3720.0000000,1163486
20210519,000000,3735.0000000,3990.0000000,3725.0000000,3941.0000000,1488722
20210520,000000,3967.5000000,4053.5000000,3871.0000000,4017.0000000,505010
20210521,000000,4035.0000000,4176.0000000,4014.5000000,4051.5000000,525439
20210524,000000,4071.5000000,4226.0000000,4046.5000000,4198.0000000,610509
20210525,000000,4206.0000000,4274.5000000,4004.0000000,4033.5000000,762597
20210526,000000,4034.0000000,4115.0000000,4007.5000000,4038.0000000,613475
20210527,000000,4027.5000000,4047.5000000,3810.0000000,3871.5000000,4133207
20210528,000000,3893.5000000,3949.0000000,3837.0000000,3893.0000000,609925
20210531,000000,3899.5000000,3944.0000000,3899.5000000,3936.0000000,129930
20210601,000000,3940.0000000,3966.0000000,3850.0000000,3958.5000000,422806
20210602,000000,3955.5000000,4049.0000000,3911.0000000,4038.0000000,439531
20210603,000000,4045.0000000,4060.0000000,3903.0000000,3979.5000000,458925
20210604,000000,3970.0000000,4074.0000000,3925.0000000,4043.0000000,406621
20210607,000000,4043.0000000,4084.0000000,3993.0000000,4061.0000000,266772
20210608,000000,4064.5000000,4192.0000000,4028.0000000,4153.0000000,496124
20210609,000000,4170.0000000,4212.0000000,4122.5000000,4148.0000000,290627
20210610,000000,4148.5000000,4174.0000000,4110.0000000,4158.0000000,217795
20210611,000000,4170.0000000,4182.0000000,4111.5000000,4134.5000000,133671
20210614,000000,4134.5000000,4158.0000000,4111.5000000,4153.5000000,153542
20210615,000000,4153.0000000,4158.5000000,4025.0000000,4061.0000000,228072
20210616,000000,4040.0000000,4145.0000000,4025.5000000,4129.0000000,183631
20210617,000000,4119.0000000,4180.0000000,4065.0000000,4160.5000000,255388
20210618,000000,4168.0000000,4264.0000000,4092.0000000,4230.0000000,416132
20210621,000000,4237.0000000,4284.0000000,4174.0000000,4232.5000000,183018
20210622,000000,4238.5000000,4279.5000000,4210.0000000,4260.5000000,139108
20210623,000000,4264.0000000,4325.0000000,4202.0000000,4243.5000000,277073
20210624,000000,4235.0000000,4374.5000000,4205.5000000,4309.5000000,369545
20210625,000000,4309.5000000,4375.0000000,4160.0000000,4221.5000000,332223
20210628,000000,4220.0000000,4380.0000000,4190.5000000,4350.5000000,397335
20210629,000000,4368.5000000,4394.0000000,4294.5000000,4327.5000000,319475
20210630,000000,4327.5000000,4372.0000000,4280.0000000,4308.0000000,292069
20210701,000000,4312.0000000,4328.0000000,4220.0000000,4255.0000000,216417
20210702,000000,4237.5000000,4307.5000000,4234.0000000,4260.0000000,202247
20210705,000000,4273.5000000,4284.5000000,4250.0000000,4267.0000000,37576
20210706,000000,4267.0000000,4282.0000000,4157.0000000,4214.5000000,226224
20210707,000000,4214.5000000,4255.0000000,4101.0000000,4153.0000000,206471
20210708,000000,4155.5000000,4155.5000000,4025.0000000,4099.0000000,304169
20210709,000000,4104.5000000,4162.5000000,4081.0000000,4129.0000000,193211
20210712,000000,4125.0000000,4156.0000000,4068.0000000,4079.0000000,136099
20210713,000000,4090.0000000,4099.0000000,3996.0000000,4009.0000000,189211
20210714,000000,4013.0000000,4060.5000000,4001.0000000,4026.0000000,143951
20210715,000000,4026.0000000,4055.5000000,3951.0000000,3990.5000000,169923
20210716,000000,3999.0000000,4049.0000000,3970.0000000,3989.5000000,164648
20210719,000000,3999.5000000,4015.0000000,3892.0000000,3997.0000000,137308
20210720,000000,4006.0000000,4065.0000000,3953.0000000,4007.0000000,172826
