<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20211217,000000,770.0000000,1238.2000000,700.0000000,994.8000000,461323
20211220,000000,999.8000000,1043.0000000,960.0000000,980.0000000,165692
20211221,000000,999.4000000,1000.0000000,920.0000000,922.4000000,65519
20211222,000000,943.8000000,945.0000000,828.0000000,915.0000000,168883
20211223,000000,920.0000000,944.0000000,870.2000000,904.0000000,26767
20211224,000000,910.6000000,928.8000000,884.0000000,896.2000000,18219
20211227,000000,917.4000000,917.6000000,870.0000000,875.8000000,29870
20211228,000000,887.2000000,898.0000000,872.0000000,876.0000000,19881
20211229,000000,876.0000000,889.6000000,851.0000000,859.4000000,17152
20211230,000000,865.0000000,868.8000000,835.2000000,840.0000000,30692
20220103,000000,860.0000000,868.8000000,845.0000000,849.4000000,20979
20220104,000000,859.0000000,859.4000000,837.2000000,844.0000000,24928
20220105,000000,848.2000000,848.2000000,835.2000000,838.0000000,11905
20220106,000000,840.0000000,844.6000000,820.0000000,830.0000000,14238
20220110,000000,847.0000000,847.0000000,772.0000000,784.0000000,84499
20220111,000000,783.0000000,795.0000000,770.0000000,779.6000000,31179
20220112,000000,784.8000000,803.0000000,769.6000000,800.0000000,38667
20220113,000000,809.0000000,809.0000000,775.0000000,775.4000000,21204
20220114,000000,800.0000000,810.6000000,770.0000000,788.8000000,22569
20220117,000000,804.6000000,809.8000000,770.0000000,781.8000000,14199
20220118,000000,799.6000000,799.6000000,730.0000000,743.0000000,19149
20220119,000000,740.0000000,777.0000000,735.4000000,754.8000000,13727
20220120,000000,762.4000000,779.8000000,745.0000000,757.0000000,8355
20220121,000000,749.0000000,750.0000000,730.0000000,731.4000000,8252
20220124,000000,743.0000000,765.6000000,605.0000000,643.0000000,71631
20220125,000000,661.0000000,686.4000000,603.8000000,616.0000000,36914
20220126,000000,624.8000000,635.0000000,611.0000000,618.0000000,28435
20220127,000000,618.4000000,760.0000000,618.0000000,700.0000000,46416
20220128,000000,735.0000000,800.0000000,699.0000000,728.0000000,51077
20220131,000000,735.4000000,770.0000000,704.0000000,714.0000000,15898
20220201,000000,723.0000000,740.0000000,690.0000000,700.2000000,17394
20220202,000000,718.8000000,718.8000000,666.0000000,684.6000000,10306
20220203,000000,686.0000000,691.8000000,640.8000000,667.8000000,19681
20220204,000000,685.0000000,696.0000000,667.8000000,684.6000000,8859
20220207,000000,698.8000000,705.4000000,680.0000000,688.2000000,5209
20220208,000000,680.2000000,698.8000000,660.0000000,698.8000000,6291
20220209,000000,707.8000000,729.6000000,692.4000000,706.0000000,10966
20220210,000000,711.6000000,711.8000000,690.0000000,700.0000000,4481
20220211,000000,704.6000000,709.0000000,680.0000000,689.8000000,5042
20220214,000000,698.0000000,705.8000000,655.2000000,685.6000000,8228
