<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210428,000000,8.1000000,8.1000000,7.8010000,7.9680000,189400200
20210429,000000,8.0000000,8.0000000,7.8800000,7.9000000,83189000
20210430,000000,7.9440000,7.9650000,7.6510000,7.8800000,81987900
20210504,000000,7.8930000,7.9480000,7.8800000,7.9100000,89184100
20210505,000000,7.8890000,8.0130000,7.8820000,8.0000000,43777600
20210506,000000,7.9980000,8.0000000,7.9000000,8.0000000,28726000
20210507,000000,7.9950000,8.0200000,7.9240000,8.0000000,15047500
20210510,000000,8.0030000,8.0030000,7.9470000,7.9810000,10027700
20210511,000000,7.9760000,8.0000000,7.8900000,7.9940000,35600100
20210512,000000,8.0000000,8.0000000,7.9200000,7.9650000,18808500
20210513,000000,7.9650000,7.9860000,7.9100000,7.9700000,26952800
20210514,000000,7.9700000,7.9750000,7.9200000,7.9510000,12328200
20210517,000000,7.9510000,7.9800000,7.9180000,7.9500000,12619800
20210518,000000,7.9620000,7.9800000,7.9050000,7.9260000,30065800
20210519,000000,7.9500000,7.9710000,7.9090000,7.9500000,24438600
20210520,000000,7.9350000,8.0150000,7.6000000,7.9940000,56061900
20210521,000000,7.9960000,7.9960000,7.9200000,7.9600000,24603200
20210524,000000,7.9590000,7.9970000,7.9220000,7.9900000,58125900
20210525,000000,7.9900000,7.9970000,7.9350000,7.9700000,25352000
20210526,000000,7.9700000,7.9800000,7.9350000,7.9700000,17751900
20210527,000000,7.9510000,8.0000000,7.9350000,8.0000000,40488700
20210528,000000,7.9890000,7.9890000,7.7450000,7.8000000,24162800
20210531,000000,7.8470000,7.9200000,7.8060000,7.8240000,8568700
20210601,000000,7.8790000,7.9060000,7.8510000,7.8600000,5603600
20210602,000000,7.8790000,7.8790000,7.8000000,7.8000000,8139000
20210603,000000,7.8450000,7.8750000,7.7200000,7.7670000,7447000
20210604,000000,7.7840000,7.7960000,7.6300000,7.6590000,10149300
20210607,000000,7.6630000,7.7480000,7.6000000,7.6000000,8921500
20210608,000000,7.6100000,7.7180000,7.5600000,7.6120000,16279100
20210609,000000,7.6160000,7.8990000,7.5710000,7.8940000,12800900
20210610,000000,7.8840000,7.9440000,7.8220000,7.9310000,21782600
20210611,000000,7.9260000,7.9500000,7.9260000,7.9490000,5665900
20210614,000000,7.9690000,7.9970000,7.8510000,7.9650000,5735600
20210615,000000,7.9650000,7.9670000,7.8310000,7.8690000,13566700
20210616,000000,7.8900000,7.8910000,7.7720000,7.7830000,3808400
20210617,000000,7.8400000,7.8840000,7.7280000,7.7740000,4262100
20210618,000000,7.7740000,7.8020000,7.6020000,7.6030000,7216300
20210621,000000,7.6670000,7.7290000,7.6660000,7.6800000,3262200
20210622,000000,7.7050000,7.7280000,7.6150000,7.6600000,3858000
20210623,000000,7.6690000,7.7000000,7.6330000,7.6850000,7875500
20210624,000000,7.7160000,7.7480000,7.5540000,7.6000000,15691800
20210625,000000,7.6210000,7.6740000,7.5520000,7.5540000,9844200
20210628,000000,7.5900000,7.6700000,7.5220000,7.6300000,4543700
20210629,000000,7.6000000,7.6280000,7.4600000,7.5230000,15831900
20210630,000000,7.5450000,7.6480000,7.5000000,7.6200000,5233300
20210701,000000,7.6200000,7.6910000,7.6000000,7.6520000,4174200
20210702,000000,7.6200000,7.6520000,7.5620000,7.5630000,3562200
20210705,000000,7.6010000,7.6520000,7.5100000,7.6500000,4885200
20210706,000000,7.6540000,7.6630000,7.5550000,7.5560000,10046700
20210707,000000,7.5590000,7.6230000,7.5000000,7.5550000,6500000
20210708,000000,7.5500000,7.5660000,7.4500000,7.4550000,10849900
20210709,000000,7.4650000,7.4930000,7.3910000,7.4500000,6163300
20210712,000000,7.4470000,7.4500000,7.3910000,7.4210000,5537100
20210713,000000,7.4500000,7.5260000,7.3950000,7.4000000,7000000
20210714,000000,7.4550000,7.4550000,7.2860000,7.2910000,9324000
20210715,000000,7.3030000,7.3030000,7.2000000,7.2050000,9163900
20210716,000000,7.2050000,7.2900000,7.1240000,7.1860000,5215600
20210719,000000,7.1860000,7.2300000,6.8040000,6.8050000,17285500
20210720,000000,6.8870000,7.0440000,6.8260000,6.9500000,5773900
