<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20201029,000000,990.0000000,1053.0000000,908.0000000,953.0000000,209997
20201030,000000,955.0000000,990.0000000,951.6000000,955.0000000,54385
20201102,000000,954.8000000,958.0000000,952.0000000,957.0000000,16594
20201103,000000,959.6000000,959.6000000,952.0000000,952.6000000,8985
20201105,000000,952.4000000,959.0000000,944.8000000,952.8000000,15502
20201106,000000,958.2000000,958.2000000,950.6000000,952.0000000,9682
20201109,000000,952.0000000,954.2000000,940.6000000,942.0000000,14817
20201110,000000,940.2000000,951.0000000,935.0000000,950.0000000,12696
20201111,000000,950.8000000,950.8000000,940.2000000,948.0000000,9998
20201112,000000,950.0000000,950.6000000,941.0000000,947.0000000,3810
20201113,000000,947.0000000,950.0000000,941.0000000,947.0000000,6270
20201116,000000,949.8000000,951.0000000,941.2000000,948.4000000,12746
20201117,000000,942.0000000,950.8000000,941.2000000,947.6000000,5005
20201118,000000,948.0000000,948.0000000,940.0000000,947.0000000,10422
20201119,000000,949.6000000,949.6000000,942.8000000,946.2000000,3687
20201120,000000,946.2000000,949.6000000,942.2000000,943.2000000,3896
20201123,000000,949.6000000,949.6000000,941.2000000,946.2000000,8912
20201124,000000,942.4000000,948.0000000,941.2000000,947.8000000,5497
20201125,000000,947.8000000,950.0000000,941.2000000,949.0000000,14178
20201126,000000,948.2000000,949.6000000,941.2000000,945.0000000,6659
20201127,000000,948.8000000,948.8000000,941.8000000,946.8000000,7648
20201130,000000,948.4000000,948.4000000,942.2000000,944.0000000,2344
20201201,000000,942.0000000,948.4000000,940.0000000,945.0000000,5640
20201202,000000,946.0000000,946.6000000,941.2000000,946.0000000,7140
20201203,000000,942.2000000,946.0000000,941.2000000,942.6000000,6730
20201204,000000,941.2000000,944.0000000,941.0000000,943.8000000,6791
20201207,000000,941.6000000,944.4000000,933.0000000,935.6000000,17152
20201208,000000,936.2000000,941.6000000,930.0000000,935.0000000,5704
20201209,000000,939.8000000,946.0000000,931.0000000,940.8000000,6472
20201210,000000,940.0000000,944.6000000,935.0000000,939.0000000,7899
20201211,000000,939.0000000,943.8000000,932.0000000,936.0000000,2306
20201214,000000,939.8000000,959.4000000,934.8000000,952.2000000,22427
20201215,000000,952.0000000,970.0000000,932.0000000,967.0000000,18436
20201216,000000,961.0000000,967.0000000,955.6000000,959.8000000,18244
20201217,000000,963.0000000,963.0000000,952.2000000,954.0000000,9040
20201218,000000,957.6000000,957.6000000,935.0000000,955.0000000,11896
20201221,000000,945.6000000,953.0000000,939.0000000,944.4000000,19114
20201222,000000,941.0000000,955.0000000,936.0000000,950.2000000,8513
20201223,000000,950.4000000,960.0000000,949.0000000,950.0000000,2543
20201224,000000,949.6000000,953.4000000,945.8000000,950.2000000,2126
20201225,000000,947.0000000,967.0000000,947.0000000,959.2000000,8025
20201228,000000,963.6000000,963.6000000,950.0000000,951.0000000,3280
20201229,000000,950.0000000,962.8000000,950.0000000,959.4000000,3547
20201230,000000,960.0000000,960.0000000,949.4000000,958.0000000,4391
20210104,000000,959.4000000,965.0000000,951.4000000,964.8000000,4049
20210105,000000,967.0000000,967.0000000,951.4000000,965.0000000,5189
20210106,000000,962.0000000,966.6000000,957.2000000,962.0000000,1380
20210108,000000,960.4000000,964.0000000,956.2000000,958.0000000,4322
20210111,000000,958.0000000,966.4000000,950.0000000,961.8000000,6600
20210112,000000,960.2000000,962.6000000,951.2000000,956.8000000,3437
20210113,000000,960.4000000,962.0000000,950.2000000,952.0000000,2556
20210114,000000,957.8000000,960.4000000,950.4000000,951.0000000,1883
20210115,000000,951.0000000,955.8000000,940.0000000,951.0000000,18292
20210118,000000,942.6000000,958.4000000,942.2000000,950.6000000,3044
20210119,000000,951.8000000,972.8000000,951.0000000,957.2000000,10653
20210120,000000,962.2000000,973.4000000,957.2000000,960.0000000,10160
20210121,000000,960.0000000,969.8000000,950.2000000,960.6000000,7198
20210122,000000,954.0000000,960.8000000,948.0000000,951.0000000,8909
20210125,000000,950.4000000,962.4000000,950.4000000,957.2000000,5360
