<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20071108,000000,7.2000000,7.3990000,6.0000000,7.1500000,281500
20071109,000000,7.1500000,8.8700000,6.9000000,7.1070000,268500
20071112,000000,7.5000000,7.5000000,6.6000000,7.0000000,455500
20071113,000000,7.0000000,7.0000000,6.8500000,6.8500000,24400
20071114,000000,7.1990000,7.1990000,6.7500000,6.7610000,28100
20071115,000000,6.8900000,6.8900000,6.7600000,6.7610000,7200
20071116,000000,6.7100000,7.0000000,6.7100000,6.8010000,27500
20071119,000000,6.8000000,6.8000000,6.7000000,6.7000000,15000
20071120,000000,6.7000000,6.7000000,6.3520000,6.4200000,41500
20071121,000000,6.4500000,6.4590000,6.2700000,6.2700000,68000
20071122,000000,6.2990000,7.0990000,6.1400000,6.1400000,83700
20071123,000000,6.2000000,6.2000000,6.0000000,6.1000000,37200
20071126,000000,6.1000000,8.0000000,6.0600000,6.1000000,209800
20071127,000000,6.1000000,6.3400000,6.1000000,6.2000000,30800
20071128,000000,6.1100000,6.4900000,6.1100000,6.4900000,68200
20071129,000000,6.4990000,6.5000000,6.0000000,6.0000000,40800
20071130,000000,6.2000000,6.8000000,6.0220000,6.7000000,103300
20071203,000000,6.2010000,6.6900000,6.2010000,6.6900000,143300
20071204,000000,6.7000000,6.7000000,6.5000000,6.5010000,63200
20071205,000000,6.9990000,7.0000000,6.5600000,6.6000000,249900
20071206,000000,6.5500000,6.6470000,6.3120000,6.5400000,55700
20071207,000000,6.5020000,6.6100000,6.5000000,6.5000000,919100
20071210,000000,6.6990000,6.6990000,6.4000000,6.5520000,47900
20071211,000000,6.4200000,6.5500000,6.4200000,6.5080000,3600
20071212,000000,6.5500000,6.5500000,6.4900000,6.5230000,270600
20071213,000000,6.5200000,6.5200000,6.3040000,6.4200000,67700
20071214,000000,6.5300000,6.5990000,6.4000000,6.4000000,184200
20071217,000000,6.5500000,6.5500000,6.3500000,6.3500000,30100
20071218,000000,6.3300000,6.3300000,6.2700000,6.3050000,20700
20071219,000000,6.2900000,6.4400000,6.2900000,6.4400000,8000
20071220,000000,6.4010000,6.4010000,6.1110000,6.3500000,212800
20071221,000000,6.3000000,6.3490000,6.2600000,6.2700000,55900
20071224,000000,6.3000000,6.3000000,6.2000000,6.2000000,48700
20071225,000000,6.2700000,6.3020000,6.1000000,6.3000000,215300
20071226,000000,6.1250000,6.2900000,6.1000000,6.1000000,233800
20071227,000000,6.2880000,6.2880000,6.1400000,6.1410000,66100
20071228,000000,6.5500000,6.5510000,6.2750000,6.3200000,856500
20080109,000000,6.4000000,6.4990000,6.3330000,6.4500000,29800
20080110,000000,6.5500000,6.5500000,6.2530000,6.3970000,196800
20080111,000000,6.3500000,6.3850000,6.2510000,6.3480000,105200
20080114,000000,6.0090000,6.3000000,6.0090000,6.2500000,305300
20080115,000000,6.3100000,6.3480000,6.1100000,6.1500000,111900
20080116,000000,6.0040000,6.1200000,5.7230000,5.8000000,224600
20080117,000000,5.9940000,6.0000000,5.7500000,5.8490000,139200
20080118,000000,5.7990000,5.8990000,5.5070000,5.6470000,664100
20080121,000000,5.4020000,5.5990000,5.0040000,5.2950000,192300
20080122,000000,4.8500000,5.3500000,4.8000000,5.2500000,411700
20080123,000000,5.3000000,5.3490000,4.8000000,5.2300000,520800
20080124,000000,5.2500000,5.3490000,5.1000000,5.3490000,377100
20080125,000000,5.4300000,5.4300000,5.1400000,5.2000000,571100
20080128,000000,5.4000000,5.4000000,5.1020000,5.4000000,514400
20080129,000000,5.5990000,5.8790000,5.4500000,5.5950000,729500
20080130,000000,5.7980000,6.0500000,5.0020000,5.1500000,3098400
20080131,000000,5.2500000,5.8880000,5.0000000,5.1300000,2256400
20080201,000000,5.0500000,5.1500000,4.9000000,5.1490000,205000
20080204,000000,5.2300000,5.3150000,5.0520000,5.1790000,55100
20080205,000000,5.3490000,6.0350000,5.1110000,5.1990000,1314700
20080206,000000,5.1110000,5.2370000,4.9500000,5.0000000,694700
20080207,000000,5.2000000,6.0000000,5.0000000,5.1450000,2344800
20080208,000000,5.4500000,6.0000000,5.0010000,6.0000000,3187100
20080211,000000,5.4080000,5.9300000,5.2000000,5.7510000,944700
20080212,000000,5.6010000,5.9160000,5.5780000,5.8490000,111200
20080213,000000,5.8500000,5.8500000,5.7540000,5.8490000,58700
20080214,000000,5.9990000,5.9990000,5.5110000,5.8700000,75700
20080215,000000,5.8700000,5.8700000,5.3050000,5.7000000,173500
20080218,000000,5.7990000,5.9960000,5.3300000,5.8340000,23800
20080219,000000,5.5800000,5.7990000,5.5800000,5.7900000,45400
20080220,000000,5.7900000,5.7900000,5.4000000,5.5900000,11300
20080221,000000,5.6980000,5.6980000,5.4000000,5.6340000,100500
