<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20060818,000000,133.3500000,133.3500000,127.0100000,127.1100000,28292
20060821,000000,132.0000000,132.1300000,125.0100000,130.0000000,237125
20060822,000000,127.7000000,133.0000000,127.7000000,131.5000000,87178
20060823,000000,131.5000000,139.0000000,129.0100000,135.0000000,183815
20060824,000000,134.0100000,139.0000000,133.5000000,137.5000000,107381
20060825,000000,140.0000000,140.0000000,136.0100000,137.0000000,218971
20060828,000000,136.9800000,138.6800000,134.1000000,136.9900000,62630
20060829,000000,136.0000000,137.5000000,133.0000000,135.9900000,102007
20060830,000000,135.9800000,136.0000000,131.0600000,131.9000000,96085
20060831,000000,131.9000000,132.7900000,129.0000000,129.3900000,70643
20060901,000000,130.0000000,130.0100000,127.0000000,128.0000000,104009
20060904,000000,130.9800000,130.9800000,127.2500000,129.0000000,53012
20060905,000000,129.9900000,129.9900000,128.8700000,129.6000000,30796
20060906,000000,130.0000000,130.0000000,128.5000000,129.0000000,21578
20060907,000000,129.0000000,129.0000000,124.0000000,127.0000000,73694
20060908,000000,125.0000000,130.2000000,125.0000000,129.0000000,8520
20060911,000000,128.9900000,128.9900000,125.0000000,126.4900000,41137
20060912,000000,125.5000000,131.9600000,123.5000000,123.6500000,103643
20060913,000000,124.5000000,129.0000000,120.6700000,124.3600000,19201
20060914,000000,125.0000000,127.4900000,125.0000000,125.5000000,76090
20060915,000000,121.1000000,126.9900000,121.1000000,123.5000000,62441
20060918,000000,126.9900000,126.9900000,122.2200000,124.0000000,15302
20060919,000000,125.7900000,125.9200000,123.0800000,123.8800000,72576
20060920,000000,123.4900000,123.8000000,118.0200000,120.7800000,50494
20060921,000000,122.0300000,122.0300000,118.6000000,121.5000000,30749
20060922,000000,118.6200000,121.4900000,114.0500000,120.8900000,36974
20060925,000000,117.0000000,120.9900000,115.8000000,116.2000000,22551
20060926,000000,116.2000000,124.9900000,116.2000000,123.1500000,42052
20060927,000000,124.9900000,127.0000000,122.9500000,123.1000000,8768
20060928,000000,126.9900000,136.3300000,123.0100000,134.9900000,219424
20060929,000000,133.0000000,139.0000000,130.5000000,133.5000000,78072
20061002,000000,134.9900000,142.0000000,133.0000000,138.0000000,96081
20061003,000000,132.8800000,137.0000000,132.0000000,133.9900000,29355
20061004,000000,131.1100000,139.0000000,130.0100000,135.9200000,74552
20061005,000000,137.0000000,142.0000000,137.0000000,139.5000000,118464
20061006,000000,136.0400000,140.0000000,136.0400000,139.9900000,46449
20061009,000000,138.0400000,157.5000000,136.0300000,156.9000000,66618
20061010,000000,159.9800000,170.0000000,147.1500000,149.0000000,63860
20061011,000000,145.0100000,152.9500000,145.0100000,148.6000000,26656
20061012,000000,148.9800000,149.9000000,145.8100000,147.8900000,59403
20061013,000000,150.0000000,160.0000000,149.0000000,158.8600000,127243
20061016,000000,159.5100000,162.0000000,157.0000000,158.2500000,23647
20061017,000000,160.0000000,161.0000000,157.0000000,158.3700000,110449
20061018,000000,158.9900000,159.8800000,157.0000000,158.9700000,152635
20061019,000000,159.0000000,160.4000000,156.0000000,158.6900000,51258
20061020,000000,160.0300000,160.0300000,147.9900000,148.8000000,194961
20061023,000000,150.0000000,150.0000000,140.0000000,143.9900000,177825
20061024,000000,143.5000000,143.5000000,140.0000000,141.4700000,75254
20061025,000000,141.5000000,144.9000000,139.8000000,144.7700000,225774
20061026,000000,147.7700000,149.0000000,145.0000000,146.5000000,272907
20061027,000000,147.0000000,150.9400000,144.0100000,148.2600000,124548
20061030,000000,147.5100000,150.5000000,146.0000000,148.0000000,150221
20061031,000000,148.0000000,159.0000000,146.1000000,155.8000000,153176
20061101,000000,157.9800000,161.0000000,153.4800000,158.0000000,97609
20061102,000000,158.0000000,162.0000000,151.2100000,154.9500000,153179
20061103,000000,155.0000000,158.8700000,154.0000000,156.8000000,307761
20061107,000000,159.0000000,161.9800000,156.9000000,160.2500000,193151
20061108,000000,159.9900000,161.9900000,158.0000000,158.1200000,126602
20061109,000000,158.3200000,163.7900000,158.3200000,160.0200000,304355
20061110,000000,160.0600000,160.0600000,158.1100000,159.0900000,60952
20061113,000000,159.0000000,161.6800000,156.2400000,158.5900000,192634
20061114,000000,156.0200000,160.5000000,156.0200000,159.7000000,86840
20061115,000000,160.5000000,161.4000000,157.8500000,158.0000000,69312
20061116,000000,158.0100000,159.0000000,156.5000000,157.4900000,107044
20061117,000000,156.9000000,157.9000000,150.9000000,153.1900000,132907
20061120,000000,153.9600000,155.0100000,150.1000000,151.1000000,130305
20061121,000000,153.0000000,155.2600000,152.0000000,154.0000000,175729
20061122,000000,155.0000000,157.6900000,149.7500000,155.8800000,403386
20061123,000000,155.7900000,160.9900000,155.2000000,160.0000000,145086
20061124,000000,160.0000000,160.9900000,157.8000000,160.9000000,47456
20061127,000000,160.9000000,164.9000000,159.1000000,161.3300000,237834
20061128,000000,161.3500000,162.4000000,158.9200000,160.7400000,46539
20061129,000000,163.0000000,168.9800000,160.0300000,168.8200000,114161
20061130,000000,168.5000000,172.0000000,167.5000000,170.0000000,262893
20061201,000000,170.0000000,173.0000000,169.0100000,169.5000000,50584
20061204,000000,168.5000000,174.0000000,168.5000000,171.5000000,85477
20061205,000000,171.1000000,173.9800000,170.8500000,172.5000000,155826
20061206,000000,173.9700000,174.5300000,172.0000000,173.9500000,74199
20061207,000000,173.0100000,175.4000000,172.2000000,173.0000000,89721
20061208,000000,174.0000000,174.0000000,171.7000000,172.0000000,56223
20061211,000000,171.7000000,173.5800000,169.5200000,170.6000000,62569
20061212,000000,170.6000000,172.2300000,170.0000000,172.2200000,39383
20061213,000000,169.7000000,172.5000000,165.1000000,167.3800000,89648
20061214,000000,167.9900000,170.0100000,167.7100000,167.9500000,149982
20061215,000000,169.9900000,171.2000000,168.0000000,169.4000000,71190
20061218,000000,170.1000000,171.1000000,169.2500000,171.0000000,104760
20061219,000000,170.0000000,171.0000000,165.0000000,167.9000000,145707
20061220,000000,168.0400000,170.0000000,167.1000000,168.2900000,35970
20061221,000000,170.5000000,170.5000000,165.5100000,167.3200000,65967
20061222,000000,167.5000000,168.0000000,165.0300000,167.5000000,57308
20061225,000000,167.0700000,167.4900000,163.4100000,163.9100000,33739
20061226,000000,165.7000000,166.0000000,163.5000000,165.7900000,30887
20061227,000000,165.7000000,165.8400000,163.4700000,164.3000000,73446
20061228,000000,163.5200000,168.4800000,160.0200000,165.5000000,73382
20061229,000000,166.7100000,168.4800000,165.0000000,166.4000000,46460
20070109,000000,160.0000000,160.0000000,148.5000000,149.0000000,290295
20070110,000000,153.0100000,154.0000000,144.4200000,149.5000000,452017
20070111,000000,149.0000000,156.0000000,147.0100000,155.0000000,140499
20070112,000000,154.3800000,156.5500000,152.0000000,153.0000000,470652
20070115,000000,156.4900000,159.5000000,154.0000000,159.0000000,91598
20070116,000000,159.5000000,161.0000000,153.6000000,155.1000000,269763
20070117,000000,154.0100000,156.0000000,150.0100000,151.0000000,171740
20070118,000000,151.8900000,154.8800000,149.0200000,151.6400000,127044
20070119,000000,150.9500000,153.9000000,150.5200000,153.8000000,179646
20070122,000000,155.0100000,157.0000000,153.4100000,156.0300000,112568
20070123,000000,156.9900000,157.0000000,153.0000000,154.4000000,108623
20070124,000000,156.9900000,158.7300000,154.9300000,154.9300000,196279
