<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20060512,000000,2700.0000000,10000.0000000,2000.0000000,3295.5600000,36700
20060515,000000,1850.0000000,1850.0000000,1605.0100000,1620.0000000,169541
20060516,000000,1590.0000000,1630.0000000,1479.9900000,1562.0000000,282089
20060517,000000,1600.0000000,1628.7100000,1471.0100000,1485.0000000,405679
20060518,000000,1430.0000000,1530.0000000,1403.0000000,1530.0000000,136510
20060519,000000,1530.0000000,1595.0000000,1487.0200000,1524.0000000,217571
20060522,000000,1530.0000000,1550.0000000,1325.0000000,1385.0000000,177713
20060523,000000,1439.0000000,1467.0000000,1350.0100000,1445.0000000,207380
20060524,000000,1450.0000000,1450.0000000,1280.0000000,1400.5500000,211474
20060525,000000,1352.0000000,1389.0000000,1300.1200000,1366.0300000,85200
20060526,000000,1404.3200000,1444.5000000,1370.0000000,1400.0000000,192079
20060529,000000,1400.0000000,1429.9000000,1381.0000000,1401.0700000,46924
20060530,000000,1399.9900000,1414.4900000,1386.0000000,1400.0100000,69785
20060531,000000,1390.0000000,1395.0000000,1335.0000000,1352.5000000,130679
20060601,000000,1349.0000000,1375.0000000,1316.0000000,1329.0000000,20948
20060602,000000,1339.0000000,1374.0400000,1317.0000000,1363.0000000,177921
20060605,000000,1389.9800000,1391.0000000,1340.0000000,1369.9900000,318465
20060606,000000,1350.0000000,1355.0000000,1297.0000000,1300.0000000,97700
20060607,000000,1300.0000000,1308.4500000,1240.0000000,1305.0000000,179455
20060608,000000,1245.0000000,1249.0000000,1180.0000000,1200.0000000,73944
20060609,000000,1205.0000000,1228.8500000,1192.0000000,1211.9900000,18661
20060613,000000,1160.5100000,1161.0000000,1003.0000000,1060.0000000,95489
20060614,000000,1005.0000000,1077.0000000,990.0000000,1067.0000000,122602
20060615,000000,1095.9900000,1098.9700000,1037.0000000,1062.0000000,82537
20060616,000000,1100.0000000,1103.0000000,1030.0000000,1055.0000000,97651
20060619,000000,1068.0000000,1085.0000000,1040.0000000,1065.0000000,32302
20060620,000000,1049.0000000,1078.0000000,1042.0100000,1070.0000000,12425
20060621,000000,1077.0000000,1095.0000000,1065.0000000,1090.0000000,111061
20060622,000000,1110.0000000,1133.9500000,1066.0300000,1066.0300000,79096
20060623,000000,1056.0000000,1089.9900000,1055.0100000,1080.0000000,14745
20060626,000000,1087.0000000,1099.0000000,1053.0000000,1060.0000000,12649
20060627,000000,1066.1300000,1070.0000000,1046.0300000,1056.0000000,53959
20060628,000000,1050.0000000,1059.9600000,1035.0000000,1057.8100000,20136
20060629,000000,1059.9000000,1089.0000000,1050.1300000,1082.0000000,33289
20060630,000000,1105.0000000,1240.0000000,1100.1000000,1195.0000000,229268
20060703,000000,1220.0000000,1315.0000000,1220.0000000,1302.3600000,217200
20060704,000000,1320.0000000,1354.0000000,1292.0000000,1350.0000000,136837
20060705,000000,1350.0000000,1365.0000000,1270.0000000,1309.9900000,103743
20060706,000000,1301.0000000,1349.9500000,1290.0000000,1349.9500000,43405
20060707,000000,1349.9900000,1388.0000000,1320.0100000,1369.0000000,116756
20060710,000000,1331.0000000,1384.0000000,1331.0000000,1372.7000000,52175
20060711,000000,1370.0000000,1372.5000000,1310.0000000,1320.0000000,82313
20060712,000000,1344.0000000,1350.0000000,1318.6000000,1321.2000000,87374
20060713,000000,1320.0000000,1330.0000000,1226.0000000,1240.0000000,80399
20060714,000000,1220.8900000,1230.0000000,1189.0000000,1202.0000000,126718
20060717,000000,1202.5000000,1220.0000000,1160.0000000,1160.5000000,58871
20060718,000000,1161.0100000,1179.9800000,1149.0000000,1174.0000000,50979
20060719,000000,1174.0100000,1182.0000000,1136.5000000,1165.0000000,93814
20060720,000000,1180.0100000,1220.0000000,1175.5000000,1175.5000000,73453
20060721,000000,1168.0000000,1174.9800000,1150.0200000,1155.0000000,41800
20060724,000000,1152.0000000,1166.9800000,1148.0100000,1157.0000000,58255
20060725,000000,1164.7000000,1173.0000000,1146.9500000,1146.9500000,56218
20060726,000000,1147.0000000,1159.9800000,1145.1100000,1152.8000000,44865
20060727,000000,1163.9800000,1204.8000000,1154.0700000,1204.7900000,161680
20060728,000000,1198.0000000,1203.0000000,1175.1000000,1197.0000000,103764
20060731,000000,1205.0000000,1237.0000000,1192.0000000,1206.0000000,129325
20060801,000000,1203.7700000,1235.0000000,1194.0200000,1229.9900000,167020
20060802,000000,1250.0000000,1291.0000000,1241.0300000,1291.0000000,102335
20060803,000000,1286.0100000,1307.7700000,1261.0100000,1300.0100000,217860
20060804,000000,1300.0000000,1319.0000000,1282.0000000,1307.0000000,79645
20060807,000000,1309.0000000,1312.4600000,1290.0000000,1304.0000000,34138
20060808,000000,1305.0000000,1311.0000000,1270.0000000,1278.0000000,82586
20060809,000000,1270.0200000,1289.9900000,1270.0000000,1278.0000000,119304
20060810,000000,1274.0900000,1295.0000000,1256.2000000,1266.9800000,51915
20060811,000000,1266.9900000,1288.0000000,1266.5000000,1288.0000000,80559
20060814,000000,1282.0000000,1296.3000000,1265.0000000,1266.0000000,51721
20060815,000000,1267.0000000,1278.8800000,1222.2200000,1233.0000000,97308
20060816,000000,1239.0000000,1250.7000000,1228.5000000,1232.8000000,162528
20060817,000000,1234.0300000,1235.0100000,1210.0200000,1220.0000000,59824
20060818,000000,1215.4500000,1220.0000000,1155.0000000,1160.0000000,71460
20060821,000000,1169.5000000,1189.0000000,1155.0000000,1157.0000000,94481
20060822,000000,1169.9800000,1217.5000000,1158.2100000,1204.0200000,169619
20060823,000000,1202.0200000,1238.7800000,1185.0000000,1234.9900000,168244
20060824,000000,1212.0100000,1232.0000000,1195.0000000,1202.8900000,76481
20060825,000000,1204.9900000,1208.9800000,1195.0100000,1202.0000000,40903
20060828,000000,1200.0000000,1213.7400000,1196.0100000,1198.6000000,23560
20060829,000000,1200.0000000,1228.0000000,1192.0000000,1195.0000000,95209
20060830,000000,1195.0000000,1200.0100000,1181.1000000,1183.1500000,72197
20060831,000000,1194.9700000,1198.0000000,1154.0000000,1161.0000000,136979
20060901,000000,1166.9900000,1182.0700000,1150.0000000,1155.9000000,88462
20060904,000000,1165.0000000,1168.9700000,1155.0300000,1161.9800000,27570
20060905,000000,1160.0100000,1183.0000000,1156.6500000,1176.0000000,123146
20060906,000000,1180.0000000,1192.9900000,1160.0000000,1169.4400000,79835
20060907,000000,1156.2000000,1164.0000000,1140.0900000,1154.9900000,74796
20060908,000000,1143.5400000,1157.7700000,1124.0000000,1134.0000000,113984
20060911,000000,1121.3400000,1125.0000000,1080.0000000,1084.9900000,114724
20060912,000000,1088.9000000,1095.9900000,1072.0000000,1087.0000000,71173
20060913,000000,1081.0000000,1095.3700000,1072.0000000,1087.6300000,81332
20060914,000000,1095.0000000,1109.0000000,1085.2000000,1088.0000000,236732
20060915,000000,1085.0000000,1178.0000000,1074.1200000,1164.0000000,722794
20060918,000000,1182.0000000,1249.0000000,1182.0000000,1209.9900000,425831
20060919,000000,1220.0000000,1222.0000000,1200.0100000,1204.0000000,122435
20060920,000000,1186.0000000,1199.6000000,1167.0000000,1195.0000000,97267
20060921,000000,1198.8900000,1200.0000000,1148.0000000,1170.9800000,131948
20060922,000000,1170.9800000,1184.0000000,1140.0000000,1154.0000000,114652
20060925,000000,1149.9900000,1150.0000000,1115.0000000,1124.9900000,103552
20060926,000000,1145.0000000,1149.4900000,1130.0000000,1138.8500000,105665
