<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20161125,000000,605.0000000,605.0000000,550.1000000,558.0000000,31394
20161128,000000,559.8000000,559.8000000,547.1000000,551.9000000,27947
20161129,000000,550.0000000,553.6000000,549.2000000,550.2000000,26707
20161130,000000,550.7000000,556.0000000,550.4000000,556.0000000,36222
20161201,000000,555.7000000,557.5000000,555.0000000,557.3000000,11613
20161202,000000,556.0000000,558.0000000,551.0000000,558.0000000,40807
20161205,000000,558.0000000,559.5000000,552.0000000,559.5000000,29074
20161206,000000,558.6000000,559.5000000,553.6000000,555.1000000,11696
20161207,000000,557.2000000,557.5000000,551.0000000,554.5000000,19092
20161208,000000,553.7000000,556.2000000,550.0000000,552.0000000,28042
20161209,000000,550.5000000,552.7000000,550.4000000,551.0000000,20905
20161212,000000,552.0000000,554.5000000,551.9000000,553.0000000,18069
20161213,000000,553.9000000,554.8000000,552.4000000,552.4000000,16810
20161214,000000,554.6000000,555.0000000,554.0000000,555.0000000,33772
20161215,000000,554.8000000,555.6000000,554.4000000,555.0000000,38211
20161216,000000,556.2000000,557.0000000,554.9000000,555.2000000,32730
20161219,000000,559.7000000,559.7000000,555.5000000,556.8000000,31808
20161220,000000,557.7000000,559.7000000,556.7000000,559.7000000,38388
20161221,000000,556.0000000,560.3000000,556.0000000,559.8000000,41957
20161222,000000,555.1000000,560.3000000,555.1000000,559.9000000,41377
20161223,000000,555.0000000,559.5000000,555.0000000,558.8000000,39713
20161226,000000,557.0000000,559.8000000,557.0000000,559.4000000,37733
20161227,000000,559.6000000,560.8000000,557.7000000,559.5000000,39964
20161228,000000,559.0000000,560.8000000,559.0000000,559.6000000,28147
20161229,000000,559.7000000,560.0000000,559.2000000,559.6000000,24045
20161230,000000,558.8000000,559.6000000,558.2000000,558.6000000,24936
20170103,000000,561.0000000,561.0000000,559.0000000,559.2000000,6557
20170104,000000,559.5000000,560.0000000,559.0000000,559.9000000,18855
20170105,000000,560.0000000,560.0000000,559.4000000,559.9000000,15488
20170106,000000,559.5000000,559.7000000,559.1000000,559.1000000,16940
20170109,000000,559.3000000,559.5000000,558.8000000,559.3000000,37448
20170110,000000,559.3000000,559.9000000,558.5000000,559.3000000,36056
20170111,000000,559.3000000,559.5000000,558.9000000,559.3000000,40027
20170112,000000,559.8000000,559.8000000,559.3000000,559.6000000,44018
