<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
19970402,000000,22.1000000,22.1000000,22.1000000,22.1000000,1000
19970403,000000,22.0400000,22.0400000,21.5500000,22.0000000,22800
19970404,000000,21.3670000,21.6500000,21.0000000,21.6500000,53800
19970407,000000,20.7750000,22.1000000,20.6500000,20.6500000,24500
19970408,000000,21.4000000,21.4000000,21.4000000,21.4000000,7500
19970409,000000,22.0800000,22.0800000,22.0670000,22.0670000,3000
19970411,000000,21.4800000,21.4800000,21.4800000,21.4800000,1000
19970414,000000,20.5000000,20.5000000,20.5000000,20.5000000,7500
19970416,000000,21.3500000,21.3500000,21.0000000,21.0000000,1600
19970417,000000,21.2000000,21.2000000,20.9000000,20.9000000,6000
19970418,000000,21.1000000,21.1000000,21.0000000,21.0000000,12500
19970421,000000,20.9000000,20.9000000,20.5000000,20.5500000,33600
19970422,000000,20.2000000,20.6000000,20.2000000,20.3000000,19900
19970425,000000,20.5000000,20.5000000,20.5000000,20.5000000,7500
19970428,000000,20.1500000,21.5000000,20.1500000,21.0000000,9900
19970429,000000,20.6000000,20.6000000,20.6000000,20.6000000,2000
19970430,000000,21.7000000,21.7000000,21.2000000,21.6000000,12100
19970505,000000,21.8000000,22.1000000,21.8000000,22.0500000,43000
19970506,000000,22.5000000,22.7000000,22.5000000,22.6500000,5700
19970507,000000,22.0000000,22.1990000,22.0000000,22.1000000,19100
19970508,000000,22.0000000,22.0000000,22.0000000,22.0000000,600
19970512,000000,22.7000000,22.8000000,22.2010000,22.5500000,14800
19970513,000000,22.5000000,22.5000000,22.2500000,22.2500000,14200
19970514,000000,22.2000000,22.2990000,22.2000000,22.2990000,2600
19970515,000000,22.0500000,22.2990000,22.0500000,22.2950000,4300
19970516,000000,22.5000000,23.1500000,22.5000000,23.1250000,36100
19970519,000000,23.2200000,23.6000000,23.2000000,23.4000000,41600
19970520,000000,22.8000000,23.0000000,22.7990000,22.9000000,11300
19970521,000000,23.6490000,23.6490000,23.1000000,23.1000000,26800
19970522,000000,22.7000000,22.8300000,22.5100000,22.5500000,36600
19970523,000000,21.8000000,22.0000000,21.8000000,22.0000000,7700
19970526,000000,21.9000000,22.0500000,21.9000000,22.0000000,13000
19970527,000000,22.3000000,22.3200000,22.0500000,22.3000000,21200
19970528,000000,22.0000000,22.0500000,21.9400000,21.9400000,18900
19970529,000000,22.5000000,22.7000000,22.1600000,22.1600000,17200
19970530,000000,22.1000000,22.1000000,22.1000000,22.1000000,7500
19970602,000000,22.3000000,22.3000000,22.0200000,22.0200000,3600
19970604,000000,22.3000000,22.4200000,22.3000000,22.3610000,18400
19970605,000000,22.3500000,22.5000000,22.3200000,22.3500000,6400
19970606,000000,22.6000000,22.6000000,22.5200000,22.5200000,9000
19970610,000000,22.5400000,22.6000000,22.2300000,22.5450000,33500
19970611,000000,22.4900000,22.4900000,22.0870000,22.2700000,24500
19970613,000000,22.1000000,22.1000000,22.0500000,22.1000000,5800
19970616,000000,22.4000000,22.4000000,22.4000000,22.4000000,600
19970617,000000,21.8000000,22.1000000,21.4500000,21.9700000,97100
19970618,000000,22.1000000,22.1000000,22.1000000,22.1000000,1500
19970619,000000,22.4000000,23.0000000,22.3000000,22.8000000,20000
19970620,000000,22.4990000,22.4990000,22.2010000,22.3600000,63100
19970623,000000,22.2350000,22.5800000,22.2350000,22.5800000,54500
19970624,000000,22.5550000,22.5800000,22.4400000,22.4400000,59600
19970625,000000,22.5100000,24.0500000,22.5100000,23.3500000,113600
19970626,000000,22.7800000,23.0500000,22.5000000,22.8500000,39100
19970627,000000,23.3000000,23.6000000,22.6100000,22.7770000,27400
19970630,000000,22.8400000,22.9200000,22.5000000,22.5050000,78300
19970701,000000,22.5000000,22.7000000,22.4100000,22.5840000,87300
19970702,000000,24.2000000,24.6500000,23.9990000,24.6000000,73100
19970703,000000,27.1750000,27.5000000,26.5000000,27.5000000,110600
19970704,000000,30.0000000,30.0000000,28.9010000,29.3000000,89900
19970707,000000,29.0000000,29.6990000,28.3500000,29.1500000,83000
19970708,000000,28.8600000,28.8600000,27.1000000,28.0000000,68900
19970709,000000,29.4000000,29.5000000,28.2100000,28.4500000,173000
19970710,000000,28.6000000,28.6000000,28.0000000,28.4000000,78400
19970711,000000,28.3500000,28.3500000,27.5500000,28.1500000,95000
19970714,000000,26.1300000,26.7000000,24.9000000,25.5000000,207500
19970715,000000,25.4000000,25.6990000,25.1100000,25.6990000,22700
19970716,000000,24.3050000,24.5500000,23.6000000,24.5250000,102600
19970717,000000,25.5000000,25.7300000,24.5000000,24.9500000,127100
19970718,000000,26.8000000,27.2000000,25.6000000,26.7400000,58200
19970721,000000,25.9500000,26.3000000,25.1000000,25.6500000,44500
19970722,000000,25.8200000,25.8200000,25.3000000,25.6000000,29400
19970723,000000,26.5600000,27.0000000,26.5500000,26.8500000,67500
19970724,000000,27.5900000,27.5900000,26.8500000,27.4000000,72000
19970725,000000,27.7000000,29.6700000,27.7000000,29.2100000,181800
19970728,000000,30.0000000,33.0000000,30.0000000,31.0000000,219500
19970729,000000,31.1500000,31.4000000,28.6050000,29.1400000,244000
19970730,000000,28.3650000,29.2800000,27.6000000,28.7000000,286100
19970731,000000,28.9000000,29.5800000,28.8000000,29.2500000,129800
19970801,000000,29.4500000,29.7750000,28.6600000,28.6600000,219400
19970804,000000,28.7400000,29.2000000,28.7000000,28.8300000,387100
19970805,000000,28.5000000,28.5000000,27.6500000,27.9980000,542500
19970806,000000,28.7000000,29.0000000,28.2500000,28.5000000,155000
19970807,000000,28.8000000,29.1000000,28.7000000,29.0900000,10600
19970808,000000,29.7500000,29.9950000,28.7500000,29.1600000,203100
19970811,000000,29.7500000,29.9950000,28.7500000,28.9990000,256300
19970812,000000,28.7500000,28.7500000,28.4000000,28.4990000,101900
19970813,000000,28.2000000,28.5000000,27.8300000,27.8300000,151600
19970814,000000,27.9900000,28.8000000,27.8000000,28.2500000,109400
19970815,000000,27.9200000,28.5200000,27.6000000,28.3300000,95200
19970818,000000,27.2100000,28.2900000,27.2100000,27.8500000,134700
19970819,000000,28.2500000,28.2500000,27.1000000,27.5000000,111600
19970820,000000,27.5000000,28.1000000,27.0000000,27.6900000,94300
19970821,000000,28.1500000,28.2900000,27.8000000,28.0000000,39000
19970822,000000,27.4000000,27.8000000,26.7500000,27.1500000,126400
19970825,000000,27.0000000,27.0900000,26.7500000,27.0100000,72300
19970826,000000,27.0900000,27.0900000,26.5400000,26.5400000,82500
19970828,000000,26.2900000,26.3500000,25.8000000,26.0000000,37900
