<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20150330,000000,37.0000000,37.3400000,37.0000000,37.3400000,539200
20150331,000000,36.8500000,37.0000000,36.3500000,36.7900000,484000
20150401,000000,36.0000000,36.4500000,35.8050000,35.8250000,319000
20150402,000000,36.0050000,36.5600000,35.8000000,36.4500000,233600
20150403,000000,36.0000000,36.7200000,35.9500000,36.7200000,265200
20150406,000000,36.4000000,36.8100000,36.1000000,36.8000000,408400
20150407,000000,36.2900000,36.6600000,35.9000000,36.6600000,443200
20150408,000000,36.7000000,37.4900000,36.7000000,37.4900000,437300
20150409,000000,36.9000000,36.9000000,35.3900000,36.5500000,490700
20150410,000000,35.9000000,36.2000000,34.0000000,35.3800000,559000
20150413,000000,34.5000000,34.7900000,34.2500000,34.7900000,470600
20150414,000000,33.0000000,34.4900000,33.0000000,34.4900000,509500
20150415,000000,33.1500000,34.7000000,33.1000000,34.7000000,458400
20150416,000000,33.1000000,34.6000000,33.1000000,34.6000000,452800
20150417,000000,33.6000000,34.6600000,33.4000000,34.5400000,379200
20150420,000000,34.0000000,34.0000000,31.0000000,32.8450000,653100
20150421,000000,31.2000000,32.5000000,30.8000000,31.9800000,681000
20150422,000000,31.5000000,32.1950000,31.5000000,31.9900000,394200
20150423,000000,31.2050000,31.2050000,30.4100000,31.0000000,470500
20150424,000000,31.9850000,31.9850000,29.8000000,30.2000000,859500
20150427,000000,30.7950000,30.8000000,30.1500000,30.3250000,679300
20150428,000000,30.7500000,31.9000000,30.7000000,31.7700000,448900
20150429,000000,31.5950000,31.8000000,31.1300000,31.1300000,384700
20150430,000000,31.1000000,31.4100000,31.0050000,31.4100000,466700
20150505,000000,31.0000000,31.9400000,30.4100000,31.2100000,930900
20150506,000000,31.6800000,31.6900000,31.0000000,31.3000000,297600
20150507,000000,31.2000000,31.2000000,30.5200000,30.7200000,365900
20150508,000000,30.5100000,31.5900000,30.5000000,31.5900000,412200
20150512,000000,30.8000000,31.0000000,30.7000000,31.0000000,375300
20150513,000000,31.9900000,32.9400000,30.7300000,30.8000000,657100
