<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
19990906,000000,8.1000000,8.1000000,8.1000000,8.1000000,10000
19990907,000000,8.3000000,8.5000000,8.3000000,8.5000000,10000
19990908,000000,8.5500000,8.5500000,8.5500000,8.5500000,400
19990920,000000,6.3500000,6.3500000,6.3500000,6.3500000,600
19991026,000000,7.8000000,7.8000000,7.8000000,7.8000000,9000
19991027,000000,8.5000000,8.5000000,8.5000000,8.5000000,61011800
19991101,000000,7.0000000,7.0000000,7.0000000,7.0000000,600
19991102,000000,11.0000000,11.0000000,11.0000000,11.0000000,9000
19991105,000000,13.0000000,13.0000000,13.0000000,13.0000000,9600
19991111,000000,8.7500000,8.7500000,8.7500000,8.7500000,200
19991117,000000,7.0000000,7.0000000,7.0000000,7.0000000,200
19991118,000000,90.1000000,90.1000000,90.1000000,90.1000000,100
19991130,000000,7.9600000,7.9600000,7.6600000,7.6600000,50100
19991203,000000,7.9000000,7.9000000,7.9000000,7.9000000,100
19991222,000000,9.0000000,9.0000000,9.0000000,9.0000000,7300
19991223,000000,7.9000000,7.9000000,7.9000000,7.9000000,8300
19991228,000000,10.5000000,10.5000000,10.5000000,10.5000000,200
19991229,000000,10.5000000,10.5000000,2.0000000,8.5000000,800
20000105,000000,8.5000000,8.5000000,8.5000000,8.5000000,100
20000110,000000,8.0000000,8.0000000,8.0000000,8.0000000,400
20000114,000000,8.0200000,8.0200000,8.0200000,8.0200000,5000
20000117,000000,9.1000000,9.1000000,9.1000000,9.1000000,4600
20000119,000000,9.7400000,9.7400000,9.7400000,9.7400000,4600
20000127,000000,10.0000000,10.1000000,10.0000000,10.1000000,200
20000203,000000,10.2000000,10.2100000,10.2000000,10.2100000,1800
20000204,000000,10.3000000,10.4100000,10.2200000,10.4100000,10400
20000207,000000,11.7300000,11.7300000,11.7300000,11.7300000,100
20000208,000000,11.4000000,11.4100000,11.4000000,11.4100000,200
20000209,000000,11.7500000,11.7500000,11.5000000,11.5000000,600
20000210,000000,12.0000000,12.0000000,12.0000000,12.0000000,1300
20000211,000000,12.5000000,12.5000000,12.5000000,12.5000000,100
20000214,000000,12.0000000,12.0000000,12.0000000,12.0000000,4700
20000217,000000,12.0000000,12.0000000,11.0000000,11.0000000,6000
20000218,000000,10.4000000,10.4000000,10.4000000,10.4000000,300
20000301,000000,10.0500000,10.0500000,10.0500000,10.0500000,1700
20000302,000000,10.0500000,10.0500000,10.0500000,10.0500000,1600
20000310,000000,10.0500000,10.0500000,10.0500000,10.0500000,19500
20000313,000000,10.5000000,10.5000000,10.5000000,10.5000000,5100
20000322,000000,9.7000000,9.7000000,9.7000000,9.7000000,1900
20000324,000000,11.5000000,11.5000000,11.5000000,11.5000000,3000
20000329,000000,10.0000000,10.0000000,10.0000000,10.0000000,800
20000412,000000,10.1000000,10.1000000,10.1000000,10.1000000,13500
20000413,000000,10.0000000,10.0000000,10.0000000,10.0000000,10000
20000419,000000,9.3500000,9.3500000,9.0000000,9.0000000,2100
20000506,000000,9.5000000,9.5000000,9.5000000,9.5000000,10000
20000510,000000,9.0000000,9.0000000,9.0000000,9.0000000,5000
20000804,000000,8.7500000,8.7500000,8.7500000,8.7500000,300
20000818,000000,9.2500000,9.2500000,9.2500000,9.2500000,4000
20000824,000000,9.4900000,9.5000000,9.4900000,9.5000000,15700
20000825,000000,9.6200000,9.6200000,9.6200000,9.6200000,200
20000831,000000,9.4000000,9.4000000,9.4000000,9.4000000,3000
20000914,000000,8.6000000,8.6000000,8.6000000,8.6000000,27000
20001019,000000,7.8000000,8.0000000,7.8000000,8.0000000,1000
20001025,000000,7.8000000,9.5800000,7.6500000,9.5800000,2700
20001120,000000,7.1000000,7.1000000,6.9000000,6.9000000,34500
20001128,000000,7.5000000,7.5000000,7.5000000,7.5000000,100
20001129,000000,7.4900000,7.4900000,7.4900000,7.4900000,100
20001130,000000,7.8000000,7.8000000,6.3000000,7.2400000,50400
20001204,000000,7.6100000,7.6100000,7.6100000,7.6100000,100
20001206,000000,7.2600000,7.2600000,7.2600000,7.2600000,1000
20001207,000000,8.3000000,8.3000000,8.3000000,8.3000000,100
20001208,000000,7.6000000,7.9000000,7.6000000,7.9000000,10000
20001214,000000,7.6600000,7.8700000,7.6600000,7.7700000,20200
20001215,000000,8.5000000,8.7000000,8.5000000,8.7000000,200
20001218,000000,7.7000000,7.7000000,7.7000000,7.7000000,4000
20001219,000000,7.7700000,7.7700000,7.7700000,7.7700000,4000
20001220,000000,7.7700000,7.7700000,7.7700000,7.7700000,200
20001221,000000,8.9000000,8.9000000,7.0000000,7.0000000,1100
20001222,000000,7.9900000,7.9900000,7.9900000,7.9900000,100
20001225,000000,8.8000000,8.8000000,8.8000000,8.8000000,100
20001226,000000,8.6000000,8.6000000,8.6000000,8.6000000,100
20001227,000000,8.4000000,8.4000000,8.4000000,8.4000000,200
20001228,000000,8.2000000,8.2000000,8.2000000,8.2000000,100
20010103,000000,8.8000000,8.8000000,8.8000000,8.8000000,100
20010104,000000,8.8000000,8.8000000,8.8000000,8.8000000,100
20010105,000000,8.7000000,8.7000000,8.7000000,8.7000000,100
20010110,000000,8.1900000,8.2900000,8.1900000,8.2900000,200
20010112,000000,8.4700000,8.4700000,8.4700000,8.4700000,100
20010115,000000,8.4000000,8.4000000,8.4000000,8.4000000,29400
20010116,000000,8.3000000,8.3000000,8.3000000,8.3000000,29400
20010117,000000,8.3000000,8.4000000,8.3000000,8.4000000,26000
