<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
19970530,000000,1.0000000,1.0060000,0.9986000,1.0060000,98600
19970602,000000,0.9990000,1.0000000,0.9980000,1.0000000,77200
19970604,000000,1.0200000,1.0240000,1.0200000,1.0240000,12500
19970605,000000,1.0360000,1.0360000,1.0360000,1.0360000,1000
19970606,000000,1.0500000,1.0500000,1.0300000,1.0360000,75100
19970610,000000,1.1100000,1.1100000,1.0984000,1.1000000,156000
19970611,000000,1.1098000,1.1098000,1.0840000,1.0940000,58000
19970613,000000,1.0986000,1.1000000,1.0900000,1.0900000,38800
19970616,000000,1.1100000,1.1270000,1.1100000,1.1270000,60000
19970617,000000,1.1300000,1.1420000,1.1300000,1.1408000,150700
19970618,000000,1.1700000,1.1700000,1.1440000,1.1580000,7200
19970619,000000,1.1970000,1.2160000,1.1970000,1.2060000,57400
19970620,000000,1.2120000,1.2170000,1.2100000,1.2114000,17500
19970623,000000,1.2400000,1.2598000,1.2400000,1.2598000,21900
19970624,000000,1.2520000,1.2958000,1.2508000,1.2956000,63600
19970625,000000,1.4000000,1.4600000,1.4000000,1.4520000,14500
19970626,000000,1.3400000,1.3520000,1.3200000,1.3400000,45700
19970627,000000,1.2862000,1.3800000,1.2862000,1.3230000,88400
19970701,000000,1.3300000,1.3300000,1.3040000,1.3300000,28800
19970702,000000,1.3200000,1.3540000,1.2960000,1.3500000,34200
19970703,000000,1.4400000,1.5100000,1.3800000,1.4250000,99500
19970704,000000,1.4700000,1.5000000,1.4580000,1.4690000,83800
19970707,000000,1.5000000,1.5000000,1.4438000,1.4750000,91200
19970708,000000,1.4360000,1.4520000,1.3620000,1.4310000,43700
19970709,000000,1.4600000,1.4840000,1.4600000,1.4600000,5700
19970710,000000,1.4686000,1.4686000,1.4400000,1.4600000,70900
19970711,000000,1.4600000,1.4600000,1.4304000,1.4474000,106200
19970714,000000,1.4270000,1.4270000,1.4270000,1.4270000,100
19970715,000000,1.4100000,1.4100000,1.3700000,1.3700000,37600
19970716,000000,1.3800000,1.3800000,1.2340000,1.3400000,16400
19970717,000000,1.3434000,1.3990000,1.3434000,1.3600000,23200
19970718,000000,1.4000000,1.4100000,1.3800000,1.3960000,38000
19970721,000000,1.3600000,1.3800000,1.3600000,1.3700000,10700
19970722,000000,1.3700000,1.3700000,1.3310000,1.3310000,159000
19970723,000000,1.3600000,1.3600000,1.3500000,1.3500000,19300
19970724,000000,1.3980000,1.3980000,1.3900000,1.3980000,33900
19970725,000000,1.3980000,1.4050000,1.3974000,1.4002000,75300
19970728,000000,1.4158000,1.4158000,1.4080000,1.4110000,118100
19970729,000000,1.4300000,1.4316000,1.4024000,1.4198000,47800
19970730,000000,1.4180000,1.4180000,1.4140000,1.4142000,6100
19970731,000000,1.4050000,1.4270000,1.4050000,1.4268000,49700
19970801,000000,1.4010000,1.4390000,1.4010000,1.4304000,118000
19970804,000000,1.4360000,1.5000000,1.4360000,1.4660000,87700
19970805,000000,1.4640000,1.4870000,1.4640000,1.4700000,105000
19970806,000000,1.4870000,1.5010000,1.4702000,1.4870000,87400
19970807,000000,1.5160000,1.5160000,1.5160000,1.5160000,11000
19970808,000000,1.5804000,1.5880000,1.5500000,1.5880000,91700
19970811,000000,1.5804000,1.5890000,1.5500000,1.5800000,182900
19970812,000000,1.5554000,1.5590000,1.5496000,1.5542000,153200
19970813,000000,1.5450000,1.5726000,1.5450000,1.5640000,100300
