<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20011210,000000,8.9900000,9.0700000,8.9900000,9.0500000,23900
20011211,000000,9.0950000,9.3000000,9.0950000,9.3000000,64400
20011213,000000,9.1000000,9.2900000,8.9100000,8.9100000,107100
20011214,000000,8.9500000,9.0930000,8.9500000,9.0930000,86900
20011217,000000,9.2000000,9.3900000,9.2000000,9.2900000,20100
20011218,000000,9.5000000,9.6000000,9.4500000,9.6000000,77300
20011219,000000,9.9000000,9.9000000,9.6000000,9.6000000,20900
20011220,000000,9.7100000,9.7100000,9.5000000,9.5000000,9700
20011221,000000,9.6000000,9.8000000,9.5800000,9.8000000,35600
20011224,000000,9.7500000,9.8100000,9.7200000,9.7210000,117300
20011225,000000,9.7900000,9.8500000,9.6300000,9.8500000,37400
20011226,000000,9.7000000,9.8000000,9.6000000,9.8000000,35600
20011227,000000,10.0000000,10.3000000,9.7500000,10.3000000,37000
20011228,000000,10.0000000,11.9800000,10.0000000,11.9800000,31600
20011229,000000,11.0000000,11.1000000,11.0000000,11.0000000,53700
20020103,000000,10.7100000,11.1000000,10.7000000,10.8400000,10900
20020104,000000,10.9300000,11.2800000,10.7700000,11.1800000,95000
20020108,000000,11.4300000,11.9000000,11.2000000,11.4000000,57100
20020109,000000,11.6500000,11.8000000,10.9000000,11.7250000,1154300
20020110,000000,11.1900000,12.0500000,11.1900000,12.0500000,1514900
20020111,000000,11.8000000,12.7000000,11.7500000,12.4500000,306700
20020114,000000,12.9900000,12.9900000,11.6600000,11.6600000,108100
20020115,000000,11.4000000,11.9800000,11.2100000,11.9800000,149100
20020116,000000,11.9500000,12.3000000,11.5000000,11.9000000,178800
20020117,000000,11.5500000,12.4500000,9.0000000,11.9500000,1214200
20020118,000000,12.1000000,12.1900000,11.0500000,12.1800000,1790600
20020121,000000,11.5000000,12.1800000,11.5000000,12.0000000,36100
20020122,000000,12.0000000,12.3200000,12.0000000,12.3000000,167700
20020123,000000,12.3000000,12.5500000,12.0210000,12.0210000,1724200
20020124,000000,12.1200000,12.4800000,11.6000000,11.6000000,230200
20020125,000000,11.0000000,12.0000000,9.0000000,11.2510000,2403200
20020128,000000,11.8490000,11.8490000,11.0000000,11.4600000,14700
20020129,000000,11.9000000,15.0000000,11.5000000,11.8100000,1716300
20020130,000000,11.8500000,11.8500000,11.5090000,11.6010000,21100
20020131,000000,11.7000000,11.8000000,11.5500000,11.7700000,19100
20020201,000000,11.6000000,11.8000000,11.5000000,11.5000000,234200
20020204,000000,11.5000000,11.5500000,11.3000000,11.5500000,6900
20020205,000000,11.5000000,11.5000000,11.4000000,11.4500000,11700
20020206,000000,11.6500000,11.8760000,11.6500000,11.8500000,120300
20020207,000000,12.2000000,12.2000000,11.7510000,11.8490000,165000
20020208,000000,11.7100000,11.9800000,11.7100000,11.8500000,88300
20020211,000000,11.7510000,11.8300000,11.7510000,11.8300000,37700
20020212,000000,12.3000000,12.3000000,11.9800000,12.0000000,197000
20020213,000000,12.1000000,12.1000000,11.9890000,12.0500000,64300
20020214,000000,11.9600000,12.2400000,11.9600000,12.1070000,72100
20020215,000000,12.1000000,12.9000000,12.1000000,12.4200000,237500
20020218,000000,12.3500000,12.7850000,12.3500000,12.5500000,27700
20020219,000000,12.5500000,12.5500000,12.2500000,12.2550000,54200
20020220,000000,12.1900000,12.3400000,12.1000000,12.1900000,54600
20020221,000000,12.2900000,12.5000000,12.2000000,12.3000000,22200
20020222,000000,12.4900000,12.5600000,12.4000000,12.4000000,22900
20020226,000000,12.5000000,12.8000000,12.1000000,12.3000000,67100
20020227,000000,12.4900000,12.4900000,12.1200000,12.2000000,55400
20020228,000000,12.1000000,12.3380000,12.1000000,12.3000000,24000
20020301,000000,12.4490000,12.8500000,12.2000000,12.8500000,308300
20020304,000000,12.9900000,15.9990000,12.8200000,12.8200000,288700
20020305,000000,13.0990000,13.0990000,12.5000000,12.9500000,215700
20020306,000000,12.9990000,12.9990000,12.7100000,12.8000000,54800
20020307,000000,13.0990000,13.0990000,12.7600000,12.9500000,80600
20020311,000000,13.0000000,13.3500000,12.8600000,13.1990000,281100
20020312,000000,13.3000000,14.1200000,13.3000000,13.5000000,276600
20020313,000000,13.5000000,14.5500000,13.5000000,14.3500000,747100
20020314,000000,14.4000000,14.6500000,14.3100000,14.5500000,585400
20020315,000000,14.6000000,14.7500000,14.5100000,14.6000000,471600
20020318,000000,14.7000000,15.1990000,14.5000000,14.6790000,331800
20020319,000000,14.4000000,14.4000000,14.0000000,14.2600000,147200
20020320,000000,14.1000000,14.3000000,14.0000000,14.0010000,212200
20020321,000000,14.0000000,14.2000000,13.9000000,14.1900000,247500
20020322,000000,14.5400000,14.6000000,14.2000000,14.2500000,142700
20020325,000000,14.1100000,14.7900000,14.1100000,14.4150000,635700
20020326,000000,14.7900000,16.7990000,14.7900000,15.0000000,516700
20020327,000000,14.9300000,15.2000000,14.9300000,15.1000000,330500
20020328,000000,15.3900000,15.7800000,15.3500000,15.7700000,496500
20020329,000000,15.6100000,16.7500000,15.6000000,15.9000000,387100
20020401,000000,16.0000000,16.0000000,15.7100000,15.9690000,133600
20020402,000000,15.3600000,15.4000000,15.1110000,15.1800000,107800
20020403,000000,15.2600000,15.4500000,15.0500000,15.4500000,174900
20020404,000000,15.2200000,15.4000000,15.1400000,15.1700000,123700
20020405,000000,15.2500000,15.3000000,15.0300000,15.0300000,66800
20020408,000000,15.2000000,15.6000000,14.9600000,15.6000000,279200
20020409,000000,15.5600000,15.9400000,15.5600000,15.9000000,535700
20020410,000000,15.7400000,15.9500000,15.7000000,15.8400000,147300
20020411,000000,15.8900000,15.8900000,15.3500000,15.8380000,206600
20020412,000000,15.7000000,16.7900000,15.7000000,16.0000000,480500
20020415,000000,16.1000000,16.1400000,15.7600000,16.1000000,312600
20020416,000000,16.2000000,16.3000000,15.9000000,16.0000000,273600
20020417,000000,16.2500000,16.2900000,16.0120000,16.1800000,304900
20020418,000000,16.0900000,16.4990000,16.0900000,16.4890000,482900
20020419,000000,16.5000000,16.8600000,16.4200000,16.8600000,636900
20020422,000000,17.0000000,17.0800000,16.5120000,16.6300000,239400
20020423,000000,16.4100000,16.8990000,16.2500000,16.7000000,218800
20020424,000000,16.7000000,17.1000000,16.7000000,17.0890000,366700
20020425,000000,17.0000000,17.4400000,17.0000000,17.3700000,701100
20020426,000000,17.5600000,18.3000000,17.5600000,18.0500000,451500
20020427,000000,18.0000000,19.6900000,18.0000000,18.9800000,744600
20020429,000000,19.4900000,19.5000000,18.7200000,18.9800000,272000
20020430,000000,19.0440000,19.0900000,18.6000000,18.7000000,94200
20020506,000000,18.5000000,18.8000000,17.9300000,18.8000000,115500
20020507,000000,18.4100000,18.8000000,17.0500000,17.7000000,190100
20020508,000000,17.6000000,18.5950000,17.6000000,18.4900000,314700
20020513,000000,16.2500000,17.9000000,16.2500000,17.2500000,124900
20020514,000000,17.5000000,18.0000000,17.3000000,17.7600000,402500
20020515,000000,17.9900000,18.5000000,17.8700000,18.2200000,423000
20020516,000000,18.0010000,18.9700000,18.0000000,18.6430000,1046000
20020517,000000,18.8800000,19.0000000,18.7000000,18.7000000,218200
20020518,000000,18.9000000,18.9750000,18.6500000,18.8000000,85300
20020520,000000,18.8500000,19.3500000,18.7500000,19.2000000,749900
20020521,000000,19.0000000,19.4990000,18.8000000,18.8800000,213500
20020522,000000,18.8000000,18.8000000,18.0000000,18.1700000,222400
20020523,000000,18.4000000,18.7800000,18.0100000,18.1800000,435200
20020524,000000,18.0000000,18.0000000,17.5000000,17.7900000,171700
20020527,000000,21.2350000,21.2350000,17.5100000,17.7000000,115400
20020528,000000,17.9900000,17.9900000,16.9000000,17.1500000,152600
20020529,000000,16.8000000,17.0000000,16.1500000,16.1500000,156700
20020530,000000,16.4900000,16.5000000,15.3000000,16.0000000,140600
20020531,000000,15.5000000,16.0000000,15.2000000,15.9000000,60200
20020603,000000,16.0000000,16.0000000,15.5130000,15.5130000,84700
20020604,000000,15.5180000,15.5180000,15.1700000,15.2010000,45700
20020605,000000,16.0000000,16.0000000,15.0100000,15.8400000,139700
20020606,000000,15.8000000,16.0000000,15.7500000,16.0000000,38300
20020607,000000,16.0000000,16.0000000,15.2610000,15.8400000,20500
20020610,000000,15.6000000,16.0000000,15.6000000,15.6750000,209600
20020611,000000,15.7000000,15.9680000,15.6060000,15.9680000,156700
20020613,000000,15.7000000,16.3000000,15.7000000,15.7000000,192000
20020614,000000,15.8000000,15.8000000,15.1110000,15.4500000,129400
20020617,000000,15.1220000,15.5990000,15.1100000,15.1200000,58400
20020618,000000,15.1200000,15.3900000,14.7100000,14.9900000,144400
20020619,000000,15.2990000,15.2990000,13.9500000,14.2480000,55400
20020620,000000,13.9000000,14.1980000,13.3110000,13.8540000,162500
20020621,000000,13.7000000,14.6900000,13.1410000,14.4300000,191800
20020624,000000,13.9000000,14.4670000,13.7500000,14.2000000,83700
20020625,000000,14.2500000,14.2500000,14.0000000,14.1000000,161400
20020626,000000,14.1980000,14.1980000,13.4030000,13.6700000,55700
20020627,000000,13.9800000,13.9800000,13.4600000,13.7700000,81100
20020628,000000,13.8800000,14.1800000,13.5000000,13.8500000,50600
20020701,000000,13.7980000,14.1890000,13.5520000,14.1790000,258900
20020702,000000,13.8900000,14.0000000,13.6300000,13.6520000,109400
20020703,000000,13.7000000,13.9800000,13.5000000,13.9500000,70100
20020704,000000,14.1000000,14.3300000,13.9600000,14.0600000,82200
20020705,000000,14.0010000,14.5000000,14.0010000,14.4000000,311600
20020708,000000,13.7200000,14.4990000,13.7200000,14.3500000,56300
20020709,000000,13.6400000,14.3000000,13.6400000,14.1000000,36100
20020710,000000,14.1900000,14.1900000,7.7000000,14.0900000,140900
20020711,000000,14.2800000,14.2800000,13.7600000,13.9950000,7600
20020712,000000,14.1900000,14.1900000,13.8000000,13.8500000,12400
20020715,000000,13.6700000,13.9400000,13.6700000,13.7000000,21900
20020716,000000,13.5000000,13.7000000,13.3600000,13.5000000,37600
20020717,000000,13.5000000,14.1000000,13.2010000,14.0500000,87900
20020718,000000,14.0000000,14.1800000,13.9600000,14.0000000,37600
20020719,000000,13.9000000,13.9000000,13.5000000,13.6000000,28200
20020722,000000,13.5450000,13.5450000,13.2000000,13.4000000,29200
20020723,000000,13.4000000,13.4000000,12.9100000,13.3990000,42000
20020724,000000,13.0100000,13.2200000,12.5300000,12.5550000,51400
20020725,000000,12.9000000,13.1670000,12.5110000,12.9990000,31400
20020726,000000,12.9000000,12.9000000,12.3900000,12.7990000,11500
20020729,000000,13.1500000,13.1500000,12.2400000,12.9900000,24700
20020730,000000,13.0000000,13.4000000,12.6100000,12.6100000,8600
20020731,000000,12.9800000,12.9800000,12.1020000,12.1990000,9300
20020801,000000,12.7000000,12.7000000,12.2120000,12.4000000,5900
20020802,000000,13.0000000,13.0000000,12.0500000,12.4000000,53900
20020805,000000,12.7500000,12.7500000,11.8100000,12.0000000,48200
20020806,000000,12.1300000,12.1300000,11.4700000,12.0000000,74300
20020807,000000,12.3000000,12.3000000,11.8010000,11.9900000,25000
20020808,000000,11.4100000,12.0900000,11.4100000,12.0000000,41000
20020809,000000,12.0700000,12.0700000,11.6410000,11.9400000,3300
20020812,000000,12.0200000,12.0200000,11.8000000,11.8000000,6200
20020813,000000,12.0000000,12.3800000,11.8800000,12.0900000,41800
20020814,000000,12.0000000,12.3500000,11.9900000,12.3500000,110800
20020815,000000,12.2500000,12.5000000,12.1000000,12.2800000,75700
20020816,000000,12.3560000,12.3560000,12.1000000,12.2500000,20000
20020819,000000,12.2900000,12.6800000,12.0600000,12.4800000,61500
20020820,000000,12.7800000,12.7800000,12.1200000,12.3000000,122000
20020821,000000,12.3400000,12.6900000,12.2100000,12.5100000,156400
20020822,000000,12.7400000,13.1200000,12.6700000,12.8000000,149600
20020823,000000,12.9400000,12.9400000,12.5700000,12.6500000,47600
20020826,000000,12.7300000,12.7700000,12.6000000,12.6500000,23100
20020827,000000,12.8400000,12.8900000,12.5600000,12.8500000,61900
20020828,000000,12.6500000,12.7500000,12.5600000,12.6500000,93300
20020829,000000,12.6800000,12.6800000,12.2500000,12.4700000,56700
20020830,000000,12.5800000,12.7900000,12.3100000,12.7300000,151700
20020902,000000,12.6900000,12.6900000,12.3600000,12.4500000,15400
20020903,000000,12.5900000,12.5900000,12.3000000,12.4700000,13000
20020904,000000,12.4400000,12.6800000,12.0610000,12.6800000,110900
20020905,000000,12.6000000,12.9900000,12.6000000,12.6000000,70800
20020906,000000,12.8500000,13.0800000,12.5000000,13.0400000,130300
20020909,000000,13.1700000,13.4480000,13.0110000,13.4000000,277500
20020910,000000,13.5970000,14.4290000,13.4990000,14.3000000,750500
20020911,000000,14.3000000,14.4800000,14.0410000,14.4690000,295400
20020912,000000,14.4550000,14.7800000,14.1710000,14.4000000,537200
20020913,000000,14.2000000,14.4700000,14.1010000,14.1010000,43500
20020916,000000,14.3000000,14.6650000,14.1700000,14.5900000,119300
20020917,000000,14.6000000,15.0000000,14.4150000,14.4150000,349100
20020918,000000,14.2500000,14.3000000,13.7700000,14.2600000,251200
20020919,000000,14.0600000,14.3100000,13.9500000,14.2000000,163300
20020920,000000,14.0200000,14.4000000,13.9500000,14.3500000,235600
20020923,000000,14.2300000,14.5900000,14.1100000,14.2980000,256200
20020924,000000,14.2000000,14.2880000,14.1000000,14.2880000,112300
20020925,000000,14.2000000,14.3990000,14.1300000,14.2500000,149900
20020926,000000,14.3500000,14.6500000,14.2540000,14.3000000,185200
20020927,000000,14.0100000,14.4000000,13.0100000,14.1310000,40100
20020930,000000,14.1000000,14.1500000,14.0000000,14.0000000,22100
20021001,000000,13.8100000,14.2500000,13.8100000,14.1500000,251800
20021002,000000,14.3500000,14.4000000,14.0700000,14.1700000,223400
20021003,000000,14.2200000,14.6000000,14.2200000,14.5500000,442600
20021004,000000,14.4010000,14.5550000,14.3150000,14.4500000,73400
20021007,000000,14.2600000,14.5690000,14.2000000,14.4900000,331300
20021008,000000,14.3700000,14.7400000,14.3010000,14.3500000,121700
20021009,000000,14.3000000,14.3000000,14.0210000,14.0210000,40500
20021010,000000,14.2000000,14.2300000,14.0300000,14.2300000,40900
20021011,000000,14.2000000,14.3790000,14.2000000,14.2610000,34200
20021014,000000,14.3600000,14.3600000,14.0500000,14.0500000,10400
20021015,000000,14.2800000,14.6890000,14.2800000,14.6300000,310600
20021016,000000,14.4000000,15.0000000,14.4000000,14.8250000,540900
20021017,000000,14.8500000,15.1200000,14.8500000,14.9510000,304500
20021018,000000,15.2490000,15.2490000,14.7000000,14.7500000,275200
20021021,000000,14.6020000,14.8000000,14.6010000,14.6100000,46300
20021022,000000,14.7900000,14.7900000,14.5000000,14.6800000,77500
20021023,000000,14.5000000,14.9850000,14.5000000,14.8650000,248600
20021024,000000,14.7000000,15.0000000,14.6500000,14.6500000,156700
20021025,000000,14.6500000,14.7500000,14.5510000,14.7500000,65400
20021028,000000,14.8000000,15.1980000,14.6700000,15.0990000,270300
20021029,000000,15.1700000,15.2980000,14.8600000,14.8600000,350700
20021030,000000,14.8880000,15.3000000,14.6510000,15.2500000,289200
20021031,000000,15.0500000,15.9000000,14.9900000,15.4490000,486400
20021101,000000,15.3500000,15.5000000,15.0100000,15.1000000,124600
20021104,000000,15.2000000,15.4700000,14.8500000,14.8500000,77600
20021105,000000,15.0000000,15.3400000,14.7500000,15.0000000,198200
20021106,000000,14.7310000,15.0000000,14.6000000,15.0000000,136000
20021110,000000,14.6500000,14.9800000,14.3500000,14.6990000,214700
20021111,000000,14.7000000,14.9990000,14.5000000,14.9750000,275100
20021112,000000,14.9500000,15.0310000,14.8000000,14.9250000,170100
20021113,000000,14.9500000,14.9700000,14.7500000,14.8250000,119500
20021114,000000,14.8500000,14.9300000,14.6200000,14.7000000,238400
20021115,000000,14.6210000,14.8350000,14.6000000,14.7000000,242800
20021118,000000,14.8100000,14.9900000,14.7040000,14.8000000,152600
20021119,000000,14.7100000,14.7900000,14.6200000,14.7900000,29000
20021120,000000,14.6010000,14.7100000,14.6000000,14.6010000,20300
20021121,000000,14.6000000,14.7250000,14.5100000,14.7250000,75100
20021122,000000,14.7600000,14.7900000,14.5800000,14.6900000,43600
20021125,000000,14.6000000,14.6920000,14.5010000,14.5980000,21200
20021126,000000,14.5010000,14.6790000,14.4620000,14.5200000,29400
20021127,000000,14.5300000,14.5500000,14.4510000,14.5290000,70900
20021128,000000,14.5300000,14.5980000,14.4500000,14.5800000,7500
20021129,000000,14.6000000,14.6900000,14.5920000,14.6600000,40200
20021202,000000,14.5010000,14.9000000,14.5010000,14.7790000,207400
20021203,000000,14.6000000,14.6100000,14.5000000,14.6100000,38000
20021204,000000,14.4000000,14.4900000,14.2200000,14.3000000,107800
20021205,000000,14.3850000,14.4500000,14.1690000,14.2500000,55700
20021206,000000,14.2300000,14.3400000,14.1500000,14.1600000,16900
20021209,000000,14.0200000,14.2000000,14.0200000,14.1490000,51200
20021210,000000,14.0800000,14.0800000,13.9200000,13.9200000,316100
20021211,000000,13.9000000,14.0700000,13.8000000,13.9300000,87100
20021215,000000,13.9500000,14.0400000,13.7100000,14.0290000,43500
20021216,000000,13.9000000,14.0600000,13.9000000,14.0600000,46800
20021217,000000,14.0000000,14.2500000,13.9600000,14.1000000,533300
20021218,000000,14.0660000,14.1900000,13.9200000,13.9990000,60100
20021219,000000,13.9900000,14.2500000,13.5010000,14.1200000,551400
20021220,000000,14.2000000,14.2900000,13.5010000,14.0810000,59100
20021223,000000,13.8500000,14.0800000,13.8500000,13.9400000,60600
20021224,000000,13.9100000,14.1400000,13.8010000,14.1300000,175600
20021225,000000,14.0500000,14.5880000,14.0000000,14.5300000,300200
20021226,000000,14.3000000,14.5000000,14.2500000,14.3990000,70300
20021227,000000,14.2010000,14.4790000,14.2000000,14.2990000,79300
20021230,000000,14.4000000,14.4790000,14.1100000,14.4590000,198100
20021231,000000,14.4590000,14.4590000,14.0260000,14.2910000,29300
20030104,000000,14.4800000,14.6990000,14.3500000,14.6700000,70900
20030105,000000,14.2700000,14.7000000,14.2700000,14.5000000,14300
20030108,000000,14.6790000,14.6790000,14.2510000,14.5400000,122900
20030109,000000,14.5000000,14.7500000,14.5000000,14.7500000,144600
20030110,000000,14.7990000,14.7990000,14.4620000,14.4910000,193100
20030113,000000,14.6500000,14.6500000,14.4000000,14.4000000,36900
20030114,000000,14.5360000,14.5360000,14.3000000,14.4000000,44300
20030115,000000,14.3000000,14.4000000,14.3000000,14.3390000,27600
20030116,000000,14.3000000,14.3100000,14.1400000,14.2000000,67000
20030117,000000,14.2000000,14.3000000,13.9350000,14.0100000,246700
20030120,000000,14.2800000,14.3000000,14.1600000,14.2000000,15800
20030121,000000,14.3480000,14.3480000,13.6300000,13.8500000,257300
20030122,000000,14.2000000,14.2000000,13.6000000,13.8290000,258900
20030123,000000,13.7000000,13.9000000,13.7000000,13.8900000,76200
20030124,000000,13.9890000,14.0790000,13.8000000,14.0000000,109300
20030127,000000,14.0200000,14.0500000,13.8000000,13.9800000,141000
20030128,000000,14.0300000,14.1800000,13.9650000,14.0000000,224700
20030129,000000,14.1500000,14.1500000,13.9000000,14.0300000,72600
20030130,000000,13.9250000,14.5300000,13.9250000,14.4000000,644200
20030131,000000,14.4000000,14.4000000,14.2100000,14.2500000,340400
20030203,000000,14.3000000,14.4500000,14.3000000,14.3890000,207500
20030204,000000,14.3000000,14.4790000,14.1500000,14.2000000,566200
20030205,000000,14.1900000,14.3490000,14.1400000,14.3000000,94400
20030206,000000,14.3000000,14.4100000,14.2500000,14.2600000,113100
20030207,000000,14.4800000,14.4800000,14.2800000,14.2800000,128300
20030210,000000,14.3400000,14.4940000,14.3000000,14.3000000,39500
20030211,000000,14.4300000,14.6800000,14.3500000,14.6800000,589900
20030212,000000,14.6800000,14.8500000,14.5200000,14.6900000,289000
20030213,000000,14.7500000,14.9600000,14.4500000,14.8750000,260200
20030214,000000,14.9690000,15.2000000,14.8250000,15.0700000,491000
20030217,000000,15.1900000,15.2000000,15.0600000,15.0760000,135200
20030218,000000,15.1290000,15.2000000,15.0450000,15.1000000,467800
20030219,000000,14.9700000,15.1500000,14.9700000,15.1500000,397300
20030220,000000,15.0200000,15.3000000,15.0200000,15.2200000,442400
20030221,000000,15.3300000,15.4100000,15.2400000,15.2900000,544600
20030225,000000,15.3400000,15.5000000,15.2510000,15.3000000,538000
20030226,000000,15.2700000,15.3950000,15.2700000,15.3100000,232600
20030227,000000,15.3000000,15.4350000,15.3000000,15.4350000,627600
20030228,000000,15.4100000,15.5550000,15.3800000,15.4500000,951900
