<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20191028,000000,1188.6000000,1212.0000000,1188.6000000,1206.0000000,194766
20191029,000000,1202.0000000,1226.0000000,1200.2000000,1219.8000000,68381
20191030,000000,1225.0000000,1227.0000000,1212.8000000,1217.0000000,36691
20191031,000000,1221.4000000,1223.8000000,1210.2000000,1216.0000000,19326
20191101,000000,1218.4000000,1219.0000000,1212.6000000,1214.0000000,16625
20191105,000000,1217.8000000,1220.0000000,1197.4000000,1198.0000000,61347
20191106,000000,1197.0000000,1214.0000000,1190.0000000,1208.6000000,21707
20191107,000000,1207.4000000,1225.8000000,1201.2000000,1225.8000000,38060
20191108,000000,1226.2000000,1251.2000000,1216.0000000,1222.8000000,20250
20191111,000000,1229.8000000,1230.0000000,1216.2000000,1222.0000000,7094
20191112,000000,1228.0000000,1242.0000000,1223.4000000,1235.6000000,27393
20191113,000000,1248.6000000,1248.6000000,1231.6000000,1239.4000000,33644
20191114,000000,1248.6000000,1276.4000000,1235.2000000,1261.2000000,84600
20191115,000000,1276.0000000,1312.4000000,1249.2000000,1250.0000000,33712
20191118,000000,1274.8000000,1275.8000000,1250.2000000,1255.0000000,43925
20191119,000000,1273.0000000,1273.8000000,1235.6000000,1241.0000000,128520
20191120,000000,1242.0000000,1252.0000000,1215.0000000,1215.8000000,126019
20191121,000000,1217.0000000,1221.4000000,1206.0000000,1210.8000000,63420
20191122,000000,1219.4000000,1219.6000000,1196.4000000,1202.0000000,80217
20191125,000000,1209.2000000,1220.2000000,1200.8000000,1206.0000000,52066
20191126,000000,1207.2000000,1212.0000000,1197.0000000,1199.4000000,128226
20191127,000000,1208.0000000,1208.2000000,1199.8000000,1203.0000000,70629
20191128,000000,1207.6000000,1207.6000000,1191.0000000,1194.2000000,117215
20191129,000000,1204.6000000,1205.0000000,1174.6000000,1185.8000000,87847
20191202,000000,1177.8000000,1199.6000000,1174.8000000,1176.4000000,62355
20191203,000000,1175.6000000,1179.8000000,1130.0000000,1133.0000000,127158
20191204,000000,1135.0000000,1140.0000000,1126.6000000,1140.0000000,34008
20191205,000000,1144.6000000,1174.2000000,1137.2000000,1167.8000000,72013
20191206,000000,1169.8000000,1192.0000000,1167.0000000,1186.2000000,125107
20191209,000000,1207.2000000,1230.0000000,1180.4000000,1228.4000000,89703
20191210,000000,1230.0000000,1248.0000000,1221.0000000,1238.8000000,158159
20191211,000000,1243.0000000,1264.8000000,1219.0000000,1234.8000000,102807
20191212,000000,1244.0000000,1245.0000000,1224.2000000,1235.0000000,176037
20191213,000000,1248.8000000,1257.8000000,1204.4000000,1257.2000000,92548
20191216,000000,1266.0000000,1305.0000000,1251.0000000,1300.0000000,244465
20191217,000000,1300.0000000,1314.0000000,1290.8000000,1299.6000000,90305
20191218,000000,1308.8000000,1327.6000000,1301.4000000,1322.4000000,117307
20191219,000000,1325.8000000,1340.0000000,1317.4000000,1340.0000000,200152
20191220,000000,1333.8000000,1333.8000000,1285.0000000,1285.6000000,183495
20191223,000000,1293.4000000,1309.6000000,1289.2000000,1304.6000000,56851
20191224,000000,1302.0000000,1310.0000000,1300.0000000,1310.0000000,42682
20191225,000000,1313.0000000,1346.0000000,1300.0000000,1313.8000000,36177
20191226,000000,1301.0000000,1310.0000000,1281.0000000,1305.0000000,25835
20191227,000000,1319.8000000,1339.0000000,1295.2000000,1308.6000000,65856
20191230,000000,1317.0000000,1335.8000000,1301.4000000,1311.2000000,38121
20200103,000000,1317.2000000,1353.0000000,1317.2000000,1332.4000000,86037
20200106,000000,1339.8000000,1349.4000000,1312.0000000,1322.8000000,54392
20200108,000000,1315.2000000,1350.2000000,1312.4000000,1350.2000000,69111
20200109,000000,1350.2000000,1368.0000000,1333.8000000,1366.8000000,65027
20200110,000000,1370.0000000,1401.0000000,1355.0000000,1398.4000000,73343
20200113,000000,1384.6000000,1434.4000000,1384.4000000,1426.4000000,309449
20200114,000000,1440.8000000,1450.0000000,1405.2000000,1426.4000000,405080
20200115,000000,1437.4000000,1473.2000000,1414.8000000,1453.8000000,439000
20200116,000000,1455.4000000,1490.2000000,1441.2000000,1452.0000000,696384
20200117,000000,1451.2000000,1467.0000000,1444.4000000,1465.2000000,173400
20200120,000000,1478.8000000,1484.6000000,1451.8000000,1473.2000000,171436
20200121,000000,1472.0000000,1472.6000000,1437.2000000,1448.0000000,290698
20200122,000000,1450.0000000,1467.6000000,1442.8000000,1444.8000000,346406
20200123,000000,1440.0000000,1458.4000000,1420.2000000,1436.4000000,335086
20200124,000000,1445.0000000,1467.8000000,1426.2000000,1437.4000000,247009
20200127,000000,1437.4000000,1439.2000000,1386.0000000,1399.2000000,248721
