<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20020522,000000,11950.0000000,11950.0000000,11950.0000000,11950.0000000,25
20020523,000000,11970.0000000,11970.0000000,11970.0000000,11970.0000000,18
20020527,000000,11730.0000000,11870.0000000,11730.0000000,11870.0000000,14
20020528,000000,11820.0100000,11830.0000000,11800.0000000,11830.0000000,20
20020529,000000,11700.0000000,11700.0000000,11400.0000000,11400.0000000,236
20020603,000000,11550.0000000,11550.0000000,11150.0000000,11150.0000000,38
20020604,000000,11200.0000000,11200.0000000,11100.0000000,11111.0000000,180
20020606,000000,11000.0100000,11000.0100000,10900.0000000,10900.0000000,146
20020607,000000,11000.0000000,11300.0000000,10950.0000000,11300.0000000,11
20020610,000000,11200.0000000,11200.0000000,11200.0000000,11200.0000000,9
20020613,000000,11220.0000000,11220.0000000,11100.0000000,11100.0000000,18
20020614,000000,11500.0000000,11500.0000000,10851.0000000,10851.0000000,88
20020617,000000,10900.0000000,10900.0000000,10750.0000000,10750.0000000,31
20020619,000000,10500.0000000,10500.0000000,10500.0000000,10500.0000000,10
20020620,000000,10600.0000000,10700.0000000,10600.0000000,10690.0000000,64
20020621,000000,10530.0000000,10770.0000000,10200.0000000,10770.0000000,135
20020624,000000,10280.0000000,10280.0000000,10280.0000000,10280.0000000,20
20020625,000000,10349.9900000,10400.0000000,10349.9900000,10400.0000000,12
20020626,000000,10070.0000000,10368.0000000,10070.0000000,10368.0000000,7
20020628,000000,10470.0000000,10700.0000000,10325.0100000,10325.0100000,136
20020701,000000,10450.0000000,10550.0000000,10450.0000000,10550.0000000,20
20020702,000000,10650.0000000,10650.0000000,10341.0000000,10341.1100000,120
20020703,000000,10500.0000000,10800.0000000,10500.0000000,10700.0000000,136
20020704,000000,10850.0000000,11030.0000000,10850.0000000,11030.0000000,24
20020705,000000,11070.0000000,11150.0000000,11060.0100000,11060.0100000,118
20020709,000000,11100.0000000,11200.0000000,11100.0000000,11200.0000000,100
20020710,000000,11200.0000000,11650.0000000,11200.0000000,11650.0000000,443
20020711,000000,11600.0000000,11600.0000000,11455.0000000,11455.0000000,455
20020712,000000,11600.0000000,12000.0000000,11550.0000000,11850.0000000,406
20020715,000000,11761.0000000,12998.9900000,11761.0000000,12400.0000000,1109
20020716,000000,12400.0000000,12600.0000000,12000.0000000,12150.0000000,395
20020717,000000,12399.0000000,12500.0000000,12300.0000000,12300.0000000,254
20020718,000000,12300.0000000,12420.0000000,12300.0000000,12420.0000000,113
20020719,000000,12251.0010000,12300.0000000,12150.0000000,12195.0000000,95
20020722,000000,11900.0000000,12000.0000000,11700.0000000,12000.0000000,50
20020723,000000,11715.0010000,11890.0000000,11700.0000000,11730.0000000,94
20020724,000000,11400.0000000,11600.0000000,11255.0000000,11598.0000000,29
20020725,000000,11550.0000000,11994.0000000,11140.0100000,11140.0100000,25
20020726,000000,11100.0000000,11770.0000000,10600.0000000,11770.0000000,145
20020729,000000,12150.0000000,12150.0000000,11649.0000000,11649.0000000,6
20020730,000000,11453.0000000,11453.0000000,11200.0000000,11200.0000000,36
20020731,000000,11550.0000000,11670.0000000,11550.0000000,11625.0000000,524
20020801,000000,11739.0000000,11750.0000000,11650.0000000,11650.0000000,255
20020802,000000,11680.0000000,11700.0000000,11680.0000000,11700.0000000,22
20020805,000000,11600.0000000,11649.0000000,11500.0000000,11500.0000000,786
20020806,000000,11380.0000000,11380.0000000,11250.0000000,11300.0000000,544
20020807,000000,11301.0000000,11588.0000000,11301.0000000,11588.0000000,17
20020808,000000,11600.0000000,11600.0000000,11313.0000000,11371.0000000,41
20020809,000000,11400.0000000,11400.0000000,11300.0000000,11398.0000000,61
20020812,000000,11400.0000000,11400.0000000,11350.0000000,11350.0000000,61
20020814,000000,11350.0000000,11350.0000000,11300.0000000,11350.0000000,229
20020815,000000,11420.0000000,11450.0000000,11420.0000000,11450.0000000,69
20020819,000000,11400.0000000,11501.0000000,11400.0000000,11500.0000000,108
20020820,000000,11400.0000000,11500.0000000,11302.0000000,11400.0000000,38
20020821,000000,11150.0000000,11350.0000000,11150.0000000,11350.0000000,17
20020822,000000,11420.0000000,11420.0000000,11340.0000000,11340.0000000,38
20020823,000000,11241.0000000,11241.0000000,11160.0000000,11200.0000000,59
20020826,000000,11180.0000000,11180.0000000,11001.0000000,11150.0000000,43
20020827,000000,11180.0000000,11250.0000000,11180.0000000,11250.0000000,11
20020828,000000,11102.0000000,11249.9900000,11102.0000000,11249.9900000,26
20020829,000000,12130.0000000,12130.0000000,11100.0100000,11130.0000000,95
20020830,000000,11330.0000000,11370.0000000,11101.0000000,11205.0000000,95
20020902,000000,11130.0000000,11200.0000000,11101.0000000,11125.0000000,46
20020903,000000,11120.0000000,11120.0000000,11111.0000000,11111.0000000,20
20020904,000000,11111.0000000,11111.0000000,10500.0000000,10500.0000000,41
20020905,000000,11100.0000000,11100.0000000,10950.0000000,10965.0000000,24
20020906,000000,11000.0000000,11000.0000000,11000.0000000,11000.0000000,15
20020909,000000,11000.0000000,11000.0000000,11000.0000000,11000.0000000,12
20020910,000000,11080.0000000,11150.0000000,11000.0000000,11099.0000000,38
20020911,000000,11100.0000000,11100.0000000,11010.0000000,11018.0000000,73
20020912,000000,11000.0500000,11048.5000000,11000.0000000,11000.0000000,141
20020913,000000,10930.0000000,10981.0000000,10900.0000000,10950.0000000,114
20020916,000000,10755.0000000,10755.0000000,10755.0000000,10755.0000000,1
20020917,000000,10855.0100000,10865.0000000,10500.0000000,10500.0000000,227
20020918,000000,10500.0000000,10500.0000000,10150.0000000,10490.0000000,37
20020919,000000,10310.0000000,10310.0000000,10265.0000000,10300.0000000,7
20020923,000000,10500.0000000,10500.0000000,10400.0000000,10400.0000000,117
20020924,000000,10500.0000000,10520.0000000,10450.0000000,10450.0000000,118
20020925,000000,10500.0000000,10500.0000000,10350.0000000,10350.0000000,25
20020926,000000,10500.0000000,10600.0000000,10500.0000000,10600.0000000,32
20020927,000000,10600.0000000,10660.0000000,10595.0000000,10625.0000000,120
20020930,000000,10550.0000000,10550.0000000,10406.0000000,10406.0000000,72
20021001,000000,10350.0000000,10446.0000000,10350.0000000,10399.0000000,94
20021002,000000,10450.0000000,10500.0000000,10400.0000000,10400.0000000,121
20021003,000000,10450.0000000,10480.0000000,10400.0000000,10480.0000000,17
20021004,000000,10630.0000000,10700.0000000,10562.0000000,10700.0000000,218
20021007,000000,10600.0000000,11090.0000000,10600.0000000,11080.0000000,289
20021008,000000,11050.0000000,11200.0000000,11000.0100000,11021.0000000,304
20021009,000000,11100.0000000,11130.0000000,11000.0100000,11000.0100000,235
20021010,000000,11000.0000000,11037.0000000,10921.0000000,10922.0000000,37
20021011,000000,10910.0100000,10910.0100000,10850.0000000,10870.0000000,43
20021014,000000,11200.0000000,11200.0000000,10800.0000000,10980.0000000,149
